include	neurovault_or_carp	mandatory	activity	activity_pref_label	activity_description						item	item_pref_label	bids_key	item_description	item_order	mri_type	duplicate	question	details	field_type	choices	visibility	spm_default	fsl_default	bids_status	bids_file	bids_key_for_unit	nidm_results	neurovault	included_in_NARPS	in_Carp_2012	percent_of_studies	percent_of_studies_anat	use_case_meta-analysis	meta-analysis_comment
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	PCASL	Assessment of inversion efficiency; QC used to ensure off-resonance artifacts not problematic, signal obtained over whole brain		assessment of inversion efficiency; qc used to ensure off-resonance artifacts not problematic, signal obtained over whole brain		assessment of inversion efficiency; qc used to ensure off-resonance artifacts not problematic, signal obtained over whole brain		ASL	-1					1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	CASL	Use of a separate labelling coil		use of a separate labelling coil		use of a separate labelling coil		ASL	-1					1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	CASL	Control scan/pulse used		control scan/pulse used		control scan/pulse used		ASL	-1					1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	CASL	B1 amplitude		b1 amplitude		b1 amplitude		ASL	-1			float		1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	PASL	PASL-TI		pasl-ti		pasl-ti		ASL	-1			float		1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	PASL	Labelling slab thickness		labelling slab thickness		labelling slab thickness		ASL	-1			float		1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	PASL	Use of QUIPSS pulses and their timing		use of quipss pulses and their timing		use of quipss pulses and their timing		ASL	-1					1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	VSASL	VSASL-TI		vsasl-ti		vsasl-ti		ASL	-1			float		1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Arterial Spin Labelling MRI	VSASL	Choice of velocity selection cutoff (“VENC”)		choice of velocity selection cutoff (“venc”)		choice of velocity selection cutoff (“venc”)		ASL	-1					1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Dynamic Susceptibility Contrast MRI	Number of baseline volumes			number of baseline volumes		number of baseline volumes		SWI	-1		Number of baseline volumes	float		1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Dynamic Susceptibility Contrast MRI	Type, name and manufacturer of intravenous bolus		ContrastBolusIngredient	type, name and manufacturer of intravenous bolus	ContrastBolusIngredient	type, name and manufacturer of intravenous bolus		SWI	0		e.g. gadobutrol, Gadavist, Bayer	char	Type | name and manufacturer of intravenous bolus (e.g. gadobutrol | Gadavist | Bayer)	1	NA 	NA 	2	*_<modality_label>.json									
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Dynamic Susceptibility Contrast MRI	Bolus amount and concentration			bolus amount and concentration		bolus amount and concentration		SWI	-1		e.g. 0.1 ml/kg and 0.1 mmol/kg	float	Bolus amount | bolus concentration	1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Dynamic Susceptibility Contrast MRI	Injection rate			injection rate		injection rate		SWI	-1		e.g. 5 ml/s	float		1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Dynamic Susceptibility Contrast MRI	Post-injection of saline			post-injection of saline		post-injection of saline		SWI	-1		e.g. 20 ml	float		1	NA 	NA 											
0	0	1	acquisition	Acquisition	Acquisition	MRI acquisition	Perfusion	Dynamic Susceptibility Contrast MRI	Injection method			injection method		injection method		SWI	-1		e.g. power injector	char		1	NA 	NA 											
0	1	1	acquisition	Acquisition	Acquisition	Preliminary quality control	Motion monitoring					motion monitoring		motion monitoring			-1		For functional or diffusion acquisitions, any visual or quantitative checks for severe motion; likewise, for structural images, checks on motion or general image quality	char		1	NA 	NA 							qccriteria; qclevels	21.6; 18.3			
0	0	0	acquisition	Acquisition	Acquisition	Preliminary quality control	Incidental findings					incidental findings		incidental findings			-1		Protocol for review of any incidental findings, and how they are handled in particular with respect to possible exclusion of a subject’s data	char		1	NA 	NA 											
