question	imortant UHF	details	field_type	choices	item	item_pref_label	bids_key	item_order	visibility	include	mandatory	item_description	neurovault_or_carp	activity_order	activity_pref_label			bids_status	bids_file	bids_key_for_unit	neurovault	in_Carp_2012	percent_of_studies	percent_of_studies_anat	use_case_meta-analysis	meta-analysis_comment
Was parallel imaging used?			radio	preset:boolean		parallel imaging used		24	1	1	0	parallel imaging used	0	1	common parameters	Parallel imaging	Parallel imaging used									
Description of parallel imaging method			select	GRAPPA | SENSE		parallel imaging method	ParallelAcquisitionTechnique, ParallelReductionFactorInPlane, PartialFourier, PartialFourierDirection	25	parallel_imaging_used == 1	1	1	parallel imaging method	1	1	common parameters	Parallel imaging	parallel imaging method	2	*_<modality_label>.json		parallel_imaging					
Pamaters of parallel imaging method (acceleration factor)			integer			acceleration factor		26	parallel_imaging_used == 1	1	0	acceleration factor	0	1	common parameters	Parallel imaging	acceleration factor									
Mention any other parameters about parallel imaging like matrix coil mode, and coil combining method (if non­standard)			text	Matrix coil mode | coil combining method (if non­standard)		other parallel imaging parameters		27	parallel_imaging_used == 1	1	1	other parallel imaging parameters	0	1	common parameters	Parallel imaging	other parallel imaging parameters									
		Multiband factor and field-of-view shift (only if applicable)	float			multiband parameters	MultibandAccelerationFactor	28	1	0	1	multiband parameters	0	1	common parameters	Multiband parameters		2	*_<modality_label>.json							
Describe readout parameters (receiver bandwidth, readout duration, echo spacing)	important		float			readout parameters		29	1	1	0	readout parameters	0	1	common parameters	Readout parameters										
Was fat suppression used for anatomical scans?		for anat scans	radio	preset:boolean		fat suppression	WaterFatShift (pixels) ???	30	1	1	1	fat suppression	0	1	common parameters	Fat suppression		2	*_<modality_label>.json							
Describe any specialized shimming procedures			text			shimming		31	1	1	1	shimming	0	1	common parameters	Shimming										
Specify the slice acquisition order			select	interleaved ascending | interleaved descending | sequential ascending | sequential descending		slice timing	SliceTiming	32	1	1	1	slice timing	1	1	common parameters	Slice timing		2	*bold.json		order_of_acquisition	sliceorder	22.4			
Location of the first slice			text			location of the first slice		33	1	1	0	location of the first slice	0	1	common parameters	Slice order	location of the first slice									
		For example, landmark guided vs. auto-alignment	text			slice position procedure		34	1	0	0	slice position procedure	0	1	common parameters	Slice position procedure										
What was the brain coverage ?		Report whether coverage was whole-brain, and whether cerebellum and brainstem were included. If not whole-brain, note the nature of the partial area of coverage. If axial and co­planar with AC­PC line, the volume coverage in terms of Z in mm	select	cerebrum+cerebellum+brainstem | cerebrum+cerebellum | cerebrum		brain coverage		35	1	1	1	brain coverage	1	1	common parameters	Brain coverage		1				cover	36.1		yes	necessary for inclusion/exclusion criteria
