sub_section	preamble	question	details	field_type	choices	item_pref_label	visibility	item_order	include	mandatory	activity_pref_label	activity_order	unit	BIDS_status	BIDS_key_for_unit		BIDS_key_for_unit		BIDS_file	BIDS_key
Selection of channels for analysis		Which experimental conditions did you inspect visually to select channel region?		radio	all conditions separately | all conditions collapsed into one average waveform | other	chan_selection_data_driven_broad_visual	[0,1, 2].includes(chan_selection_data_driven_broad)	11	1	1	Channels	7
Selection of channels for analysis		Describe which conditions or combinations of conditions did you use for visual inspection of the channel region for this effect?		textarea		chan_selection_data_driven_broad_visual_details	chan_selection_data_driven_broad_visual == 2	12	1	1	Channels	7
Selection of channels for analysis		What was the criterion for the size of the cluster of neighbouring electrodes that needed to be significant to be selected for statistical analysis?		textarea		chan_selection_data_driven_broad_neighbours	chan_selection_data_driven_broad == 3	13	1	1	Channels	7
Selection of channels for analysis		How did you select the channels around the peak effect for analysis?		textarea		chan_selection_data_driven_broad_neighbours_maxregion	chan_selection_data_driven_broad == 4	14	1	1	Channels	7
Selection of channels for analysis		Describe your method of selection of the initial set of electrodes used for analysis other than listed.		textarea		chan_selection_data_driven_broad_neighbours_other	chan_selection_data_driven_broad == 5	15	1	1	Channels	7
Selection of channels for analysis		Number of channels selected in this step		float		chan_selection_data_driven_broad_number	chan_selection == 3	16	1	1	Channels	7
Selection of channels for analysis		List of channels selected in this step, separated by a semicolon and a space		float		chan_selection_data_driven_broad_list	chan_selection == 3	17	1	1	Channels	7
Selection of channels for analysis		Select the procedure which was used to identify the set of electrodes which was submitted to statistical analysis.		radio	visual inspection of waveforms (separate or collapsed conditions) | visual inspection of global field potentials | visual inspection of voltage maps (separate or collapsed conditions) | significant effects on multiple neighbouring electrodes | N channels arround the largest effect | other	chan_selection_data_driven_final	[1, 2, 3].includes(chan_selection)	18	1	1	Channels	7
Selection of channels for analysis		Which  experimental conditions did you inspect visually to select the final list of channels for this effect?		radio	all conditions separately | all conditions collapsed into one average waveform | other	chan_selection_data_driven_final_visual	[0,1, 2].includes(chan_selection_data_driven_final)	19	1	1	Channels	7
Selection of channels for analysis		Describe which conditions or combinations of conditions did you use for visual inspection of the channel region for this effect?		textarea		chan_selection_data_driven_final_visual_details	chan_selection_data_driven_final_visual == 2	20	1	1	Channels	7
Selection of channels for analysis		What was the criterion for the size of the cluster of neighbouring electrodes that needed to be significant to be selected for statistical analysis?		textarea		chan_selection_data_driven_final_neighbours	chan_selection_data_driven_final == 3	21	1	1	Channels	7
Selection of channels for analysis		How did you select the channels around the peak effect for analysis?		textarea		chan_selection_data_driven_final_neighbours_maxregion	chan_selection_data_driven_final == 4	22	1	1	Channels	7
Selection of channels for analysis		Describe your method of selection of the set of electrodes used for analysis other than listed.		textarea		chan_selection_data_driven_final_neighbours_other	chan_selection_data_driven_final == 5	23	1	1	Channels	7
Selection of channels for analysis		Number of channels selected in this step		integer		chan_selection_data_driven_final_number	[1, 2, 3].includes(chan_selection)	24	1	1	Channels	7
Selection of channels for analysis		List of channels selected in this step, separated by a semicolon and a space		textarea		chan_selection_data_driven_final_list	[1, 2, 3].includes(chan_selection)	25	1	1	Channels	7
