sub_section	preamble	question	unit	details	field_type	choices	item_pref_label	visibility	item_order	include	mandatory	activity_pref_label	activity_order
Re-referencing		Did you re-reference offline?		This does not include re-referencing within automated pipelines, if you had applied any.	radio	preset:boolean	offline_reference	1	34	1	1	Preprocessing	5
Re-referencing		Which analysis software do you use for re-referencing on EEG data?			select	preset:meeg_analysis_softwares	rereference_software	offline_reference == 1 && same_software == 0	35	1	1	Preprocessing	5
Re-referencing		Specify software version if applicable, script language if "custom script" was selected, and software name and version if "other" was selected.			text		rereference_software_details	offline_reference == 1 && same_software == 0	36	1	1	Preprocessing	5
Re-referencing		What was the new reference?			radio	average mastoids | average earlobes | average of all scalp electrodes | reference electrode standardization technique (REST, Yao, 2001) | Cz | other	new_reference	offline_reference == 1	37	1	1	Preprocessing	5
Re-referencing		New reference other than listed			text		new_reference_other	new_reference == 5	38	1	1	Preprocessing	5
Artifacts		How many artifact elimination steps did you have?		This section refers to artifact removal (correction, rejection) methods other than elimating participants from the sample, which should be described in the Experimental design and sample section. This section should not include artifact removal within automated pipelines already described above.	integer		artifact_steps_number	1	39	1	1	Preprocessing	5
Artifacts		What action did you take regarding artifacts in step 1?			radio	reject bad trial or bad data segment on all channels | correct by subtraction (blinks, EKG etc.) | reject channels | interpolate channels | multi-step automated approach (e.g., FASTER)	artifact_1	artifact_steps_number >= 1	40	1	1	Preprocessing	5
Artifacts		What software did you use for artifact removal in step 1?			select	preset:meeg_analysis_softwares	artifact_1_software	artifact_steps_number >= 1 && same_software == 0	41	1	1	Preprocessing	5
Artifacts		Specify software version if applicable, script language if "custom script" was selected and software name and version if "other" was selected.			text		artifact_1_software_details	artifact_steps_number >= 1&& same_software == 0	42	1	1	Preprocessing	5
Artifacts		Did you reject trials or segments of continuous data in step 1?			radio	trials | data segments	artifact_1_reject_what	artifact_steps_number >= 1 && artifact_1 == 0	43	1	1	Preprocessing	5
Artifacts		How did you define your artifacts in step 1?			radio	visual inspection | pre-set numerical criterion/function | other	artifact_1_reject_method	artifact_steps_number >= 1 && artifact_1 == 0	44	1	1	Preprocessing	5
Artifacts		Which artifacts did you remove using visual inspection in step 1?			select_multiple	blinks | saccades | other occular | cardiac | motion and other EMG noise | alpha waves | line noise | other	artifact_1_reject_visual	artifact_steps_number >= 1 && artifact_1_reject_method == 0	45	1	1	Preprocessing	5
Artifacts		Which other artifacts did you remove visually?			text		artifact_1_reject_visual_other	artifact_1_reject_visual.includes(7)	46	1	1	Preprocessing	5
Artifacts		Describe your numerical criterion/function and provide numerical threshold(s) in step 1.			text		artifact_1_reject_numerical	artifact_steps_number >= 1 && artifact_1_reject_method == 1	47	1	1	Preprocessing	5
Artifacts		Describe your method of artifact rejection other than visual inspection or numerical criterion/function. Make sure that there is enough detail for a replication attempt.			text		artifact_1_reject_other	artifact_steps_number >= 1 && artifact_1_reject_method == 2	48	1	1	Preprocessing	5
Artifacts		Which general method of artifact correction did you use in step 1?			select	regression-based approach (e.g., Gratton et al., 1983, Elbert et al., 1985) | spatial-filter-based approach (e.g., Dale, 1994) | ICA-based approaches | wavelet-based | wavelet-enhanced ICA (e.g., Khushaba et al, 2013) | multiple-source-analysis-based approaches (e.g., MSEC by Berg & Scherg, 1994) | other	artifact_1_correct_method	artifact_steps_number >= 1 && artifact_1 == 1	49	1	1	Preprocessing	5
Artifacts		Reference to the artifact correction algorithm used in step 1			text		artifact_1_correct_reference	artifact_steps_number >= 1 && artifact_1 == 1	50	1	1	Preprocessing	5
Artifacts		Describe artifact correction parameters in detail sufficient for replication.		For example, provide numerical parameters, options selected, or describe decision-making process as closely as possible if manual, visual-inspection based decisions were involved.	textarea		artifact_1_correct_details	artifact_steps_number >= 1 && artifact_1 == 1	51	1	1	Preprocessing	5
Artifacts		From which data did you eliminate bad channels in step 1?			radio	from individual trials | from segments of continuous data | from the entire recording of a participant	artifact_1_remove_electrode_where	artifact_steps_number >= 1 && artifact_1 == 2	52	1	1	Preprocessing	5
Artifacts		Did you have any channels that were eliminated for all participants?			radio	preset:boolean			53				5
Artifacts		List of channels eliminated in step 1 for all participants, separated by a semicolon and a space.			text		artifact_1_remove_electrode_everyone_list	artifact_steps_number >= 1 && artifact_1 == 2 && artifact_1_remove_electrode_where ==2	54	1	1	Preprocessing	5
Artifacts		Percentage of channels eliminated per participant on average in step 1			float		artifact_1_remove_electrode_percent	artifact_steps_number >= 1 && artifact_1 == 2 && artifact_1_remove_electrode_where ==2	55	1	1	Preprocessing	5
Artifacts		What was the criterion for eliminating bad channels in step 1?			radio	visual inspection | pre-set numerical criterion/function | other	artifact_1_remove_electrode_method	artifact_steps_number >= 1 && artifact_1 == 2	56	1	1	Preprocessing	5
Artifacts		Why did you remove bad electrodes in step 1?			select_multiple	excessive line noise | excessive muscle activity | bad contact and other large fluctations in voltage | dead electrode | excessive EMG noise | cardiac activity | other	artifact_1_remove_electrode_visual	artifact_steps_number >= 1 && artifact_1_remove_electrode_method == 0	57	1	1	Preprocessing	5
Artifacts		Which other reasons did you have for eliminating bad electrodes visually in step 1?			text		artifact_1_remove_electrode_visual_other	artifact_steps_number >= 1 && artifact_1_remove_electrode_visual == 6	58	1	1	Preprocessing	5
Artifacts		Describe your numerical criterion/function for eliminating electrodes and provide numerical threshold(s) in step 1.			text		artifact_1_remove_electrode_numerical	artifact_steps_number >= 1 && artifact_1_remove_electrode_method == 1	59	1	1	Preprocessing	5
Artifacts		Describe your method of electrode rejection other than visual inspection or numerical criterion/function. Make sure that there is enough detail for a replication attempt.			text		artifact_1_remove_electrode_other	artifact_steps_number >= 1 && artifact_1_remove_electrode_method == 2	60	1	1	Preprocessing	5
Artifacts		How did you select channels for interpolation in step 1?		Describe the numerical threshold or function used to define which channels should be interpolated.	textarea		artifact_1_interpolate_which	artifact_steps_number >= 1 && artifact_1 == 3	61	1	1	Preprocessing	5
Artifacts		Describe interpolation function and the settings you used in step 1.		Provide appropriate details and settings, as well as a reference, if appropriate.	textarea		artifact_1_interpolate_how	artifact_steps_number >= 1 && artifact_1 == 3	62	1	1	Preprocessing	5
Artifacts		Reference to the automated artifact removal algorithm used in step 1			text		artifact_1_automated_reference	artifact_steps_number >= 1 && artifact_1 == 4	63	1	1	Preprocessing	5
Artifacts		Describe automated artifact removal parameters in detail sufficient for replication.		For example, provide numerical parameters, options selected, or describe decision-making process as closely as possible if manual, visual-inspection based decisions were involved.	textarea		artifact_1_automated_parameters	artifact_steps_number >= 1 && artifact_1 == 4	64	1	1	Preprocessing	5
Artifacts		What action did you take regarding artifacts in step 2?			radio	reject bad trial or bad data segment | correct by subtraction (blinks, EKG etc.) | reject channels | interpolate channels | multi-step automated approach (e.g., FASTER)	artifact_2	artifact_steps_number >= 2	65	1	1	Preprocessing	5
Artifacts		What software did you use for artifact removal in step 2?			select	preset:meeg_analysis_softwares	artifact_2_software	artifact_steps_number >= 2 && same_software == 0	66	1	1	Preprocessing	5
Artifacts		Specify software version if applicable, script language if "custom script" was selected and software name and version if "other" was selected.			text		artifact_2_software_details	artifact_steps_number >= 2&& same_software == 0	67	1	1	Preprocessing	5
Artifacts		Did you reject trials or segments of continuous data in step 2?			radio	trials | data segments	artifact_2_reject_what	artifact_steps_number >= 2 && artifact_2 == 0	68	1	1	Preprocessing	5
Artifacts		How did you define your artifacts in step 2?			radio	visual inspection | pre-set numerical criterion/function | other	artifact_2_reject_method	artifact_steps_number >= 2 && artifact_2 == 0	69	1	1	Preprocessing	5
Artifacts		Which artifacts did you remove using visual inspection in step 2?			select_multiple	blinks | saccades | other occular | cardiac | motion and other EMG noise | alpha waves | line noise | other	artifact_2_reject_visual	artifact_steps_number >= 2 && artifact_2_reject_method == 0	70	1	1	Preprocessing	5
Artifacts		Which other artifacts did you remove visually?			text		artifact_2_reject_visual_other	artifact_2_reject_visual.includes(7)	71	1	1	Preprocessing	5
Artifacts		Describe your numerical criterion/function and provide numerical threshold(s) in step 2.			text		artifact_2_reject_numerical	artifact_steps_number >= 2 && artifact_2_reject_method == 1	72	1	1	Preprocessing	5
Artifacts		Describe your method of artifact rejection other than visual inspection or numerical criterion/function. Make sure that there is enough detail for a replication attempt.			text		artifact_2_reject_other	artifact_steps_number >= 2 && artifact_2_reject_method == 2	73	1	1	Preprocessing	5
Artifacts		Which general method of artifact correction did you use in step 2?			select	regression-based approach (e.g., Gratton et al., 1983, Elbert et al., 1985) | spatial-filter-based approach (e.g., Dale, 1994) | ICA-based approaches | wavelet-based | wavelet-enhanced ICA (e.g., Khushaba et al, 2013) | multiple-source-analysis-based approaches (e.g., MSEC by Berg & Scherg, 1994) | other	artifact_2_correct_method	artifact_steps_number >= 2 && artifact_2 == 1	74	1	1	Preprocessing	5
Artifacts		Reference to the artifact correction algorithm used in step 2			text		artifact_2_correct_reference	artifact_steps_number >= 2 && artifact_2 == 1	75	1	1	Preprocessing	5
Artifacts		Describe artifact correction parameters in detail sufficient for replication.		For example, provide numerical parameters, options selected, or describe decision-making process as closely as possible if manual, visual-inspection based decisions were involved.	textarea		artifact_2_correct_details	artifact_steps_number >= 2 && artifact_2 == 1	76	1	1	Preprocessing	5
Artifacts		From which data did you eliminate bad channels in step 2?			radio	from individual trials | from segments of continuous data | from the entire recording	artifact_2_remove_electrode_where	artifact_steps_number >= 2 && artifact_2 == 2	77	1	1	Preprocessing	5
Artifacts		List of channels eliminated in step 2 for all participants, separated by a semicolon and a space.			text		artifact_2_remove_electrode_everyone_list	artifact_steps_number >= 1 && artifact_2 == 2 && artifact_2_remove_electrode_where ==2	78	1	1	Preprocessing	5
Artifacts		Percentage of channels eliminated per participant on average in step 2			float		artifact_2_remove_electrode_percent	artifact_steps_number >= 1 && artifact_2 == 2 && artifact_2_remove_electrode_where ==2	79	1	1	Preprocessing	5
Artifacts		What was the criterion for eliminating bad channels in step 2?			radio	visual inspection | pre-set numerical criterion/function | other	artifact_2_remove_electrode_method	artifact_steps_number >= 2 && artifact_2 == 2	80	1	1	Preprocessing	5
Artifacts		Why did you remove bad electrodes in step 2?			select_multiple	excessive line noise | excessive muscle activity | bad contact and other large fluctations in voltage | dead electrode | excessive EMG noise | cardiac activity | other	artifact_2_remove_electrode_visual	artifact_steps_number >= 2 && artifact_2_remove_electrode_method == 0	81	1	1	Preprocessing	5
Artifacts		Which other reasons did you have for eliminating bad electrodes visually in step 2?			text		artifact_2_remove_electrode_visual_other	artifact_steps_number >= 2 && artifact_2_remove_electrode_visual == 6	82	1	1	Preprocessing	5
Artifacts		Describe your numerical criterion/function for eliminating electrodes and provide numerical threshold(s) in step 2.			text		artifact_2_remove_electrode_numerical	artifact_steps_number >= 2 && artifact_2_remove_electrode_method == 1	83	1	1	Preprocessing	5
Artifacts		Describe your method of electrode rejection other than visual inspection or numerical criterion/function. Make sure that there is enough detail for a replication attempt.			text		artifact_2_remove_electrode_other	artifact_steps_number >= 2 && artifact_2_remove_electrode_method == 2	84	1	1	Preprocessing	5
Artifacts		How did you select channels for interpolation in step 2?		Describe the numerical threshold or function used to define which channels should be interpolated.	textarea		artifact_2_interpolate_which	artifact_steps_number >= 2 && artifact_2 == 3	85	1	1	Preprocessing	5
Artifacts		Describe interpolation function and the settings you used in step 2.		Provide appropriate details and settings, as well as a reference, if appropriate.	textarea		artifact_2_interpolate_how	artifact_steps_number >= 2 && artifact_2 == 3	86	1	1	Preprocessing	5
Artifacts		Reference to the automated artifact removal algorithm used in step 2			text		artifact_2_automated_reference	artifact_steps_number >= 2 && artifact_2 == 4	87	1	1	Preprocessing	5
Artifacts		Describe automated artifact removal parameters in detail sufficient for replication.		For example, provide numerical parameters, options selected, or describe decision-making process as closely as possible if manual, visual-inspection based decisions were involved.	textarea		artifact_2_automated_parameters	artifact_steps_number >= 2 && artifact_2 == 4	88	1	1	Preprocessing	5
Artifacts		What action did you take regarding artifacts in step 3?			radio	reject bad trial or bad data segment | correct by subtraction (blinks, EKG etc.) | reject channels | interpolate channels | multi-step automated approach (e.g., FASTER)	artifact_3	artifact_steps_number >= 3	89	1	1	Preprocessing	5
Artifacts		What software did you use for artifact removal in step 3?			select	preset:meeg_analysis_softwares	artifact_3_software	artifact_steps_number >= 3 && same_software == 0	90	1	1	Preprocessing	5
Artifacts		Specify software version if applicable, script language if "custom script" was selected and software name and version if "other" was selected.			text		artifact_3_software_details	artifact_steps_number >= 3&& same_software == 0	91	1	1	Preprocessing	5
Artifacts		Did you reject trials or segments of continuous data in step 3?			radio	trials | data segments	artifact_3_reject_what	artifact_steps_number >= 3 && artifact_3 == 0	92	1	1	Preprocessing	5
Artifacts		How did you define your artifacts in step 3?			radio	visual inspection | pre-set numerical criterion/function | other	artifact_3_reject_method	artifact_steps_number >= 3 && artifact_3 == 0	93	1	1	Preprocessing	5
Artifacts		Which artifacts did you remove using visual inspection in step 3?			select_multiple	blinks | saccades | other occular | cardiac | motion and other EMG noise | alpha waves | line noise | other	artifact_3_reject_visual	artifact_steps_number >= 3 && artifact_3_reject_method == 0	94	1	1	Preprocessing	5
Artifacts		Which other artifacts did you remove visually?			text		artifact_3_reject_visual_other	artifact_3_reject_visual.includes(7)	95	1	1	Preprocessing	5
Artifacts		Describe your numerical criterion/function and provide numerical threshold(s) in step 3.			text		artifact_3_reject_numerical	artifact_steps_number >= 3 && artifact_3_reject_method == 1	96	1	1	Preprocessing	5
Artifacts		Describe your method of artifact rejection other than visual inspection or numerical criterion/function. Make sure that there is enough detail for a replication attempt.			text		artifact_3_reject_other	artifact_steps_number >= 3 && artifact_3_reject_method == 2	97	1	1	Preprocessing	5
Artifacts		Which general method of artifact correction did you use in step 3?			select	regression-based approach (e.g., Gratton et al., 1983, Elbert et al., 1985) | spatial-filter-based approach (e.g., Dale, 1994) | ICA-based approaches | wavelet-based | wavelet-enhanced ICA (e.g., Khushaba et al, 2013) | multiple-source-analysis-based approaches (e.g., MSEC by Berg & Scherg, 1994) | other	artifact_3_correct_method	artifact_steps_number >= 3 && artifact_3 == 1	98	1	1	Preprocessing	5
Artifacts		Reference to the artifact correction algorithm used in step 3			text		artifact_3_correct_reference	artifact_steps_number >= 3 && artifact_3 == 1	99	1	1	Preprocessing	5
Artifacts		Describe artifact correction parameters in detail sufficient for replication.		For example, provide numerical parameters, options selected, or describe decision-making process as closely as possible if manual, visual-inspection based decisions were involved.	textarea		artifact_3_correct_details	artifact_steps_number >= 3 && artifact_3 == 1	100	1	1	Preprocessing	5
Artifacts		From which data did you eliminate bad channels in step 3?			radio	from individual trials | from segments of continuous data | from the entire recording	artifact_3_remove_electrode_where	artifact_steps_number >= 3 && artifact_3 == 2	101	1	1	Preprocessing	5
Artifacts		List of channels eliminated in step 3 for all participants, separated by a semicolon and a space.			text		artifact_3_remove_electrode_everyone_list	artifact_steps_number >= 1 && artifact_3 == 2 && artifact_3_remove_electrode_where ==2	102	1	1	Preprocessing	5
Artifacts		Percentage of channels eliminated per participant on average in step 3			float		artifact_3_remove_electrode_percent	artifact_steps_number >= 1 && artifact_3 == 2 && artifact_3_remove_electrode_where ==2	103	1	1	Preprocessing	5
Artifacts		What was the criterion for eliminating bad channels in step 3?			radio	visual inspection | pre-set numerical criterion/function | other	artifact_3_remove_electrode_method	artifact_steps_number >= 3 && artifact_3 == 2	104	1	1	Preprocessing	5
Artifacts		Why did you remove bad electrodes in step 3?			select_multiple	excessive line noise | excessive muscle activity | bad contact and other large fluctations in voltage | dead electrode | excessive EMG noise | cardiac activity | other	artifact_3_remove_electrode_visual	artifact_steps_number >= 3 && artifact_3_remove_electrode_method == 0	105	1	1	Preprocessing	5
Artifacts		Which other reasons did you have for eliminating bad electrodes visually in step 3?			text		artifact_3_remove_electrode_visual_other	artifact_steps_number >= 3 && artifact_3_remove_electrode_visual == 6	106	1	1	Preprocessing	5
Artifacts		Describe your numerical criterion/function for eliminating electrodes and provide numerical threshold(s) in step 3.			text		artifact_3_remove_electrode_numerical	artifact_steps_number >= 3 && artifact_3_remove_electrode_method == 1	107	1	1	Preprocessing	5
Artifacts		Describe your method of electrode rejection other than visual inspection or numerical criterion/function. Make sure that there is enough detail for a replication attempt.			text		artifact_3_remove_electrode_other	artifact_steps_number >= 3 && artifact_3_remove_electrode_method == 2	108	1	1	Preprocessing	5
Artifacts		How did you select channels for interpolation in step 3?		Describe the numerical threshold or function used to define which channels should be interpolated.	textarea		artifact_3_interpolate_which	artifact_steps_number >= 3 && artifact_3 == 3	109	1	1	Preprocessing	5
Artifacts		Describe interpolation function and the settings you used in step 3.		Provide appropriate details and settings, as well as a reference, if appropriate.	textarea		artifact_3_interpolate_how	artifact_steps_number >= 3 && artifact_3 == 3	110	1	1	Preprocessing	5
Artifacts		Reference to the automated artifact removal algorithm used in step 3			text		artifact_3_automated_reference	artifact_steps_number >= 3 && artifact_3 == 4	111	1	1	Preprocessing	5
Artifacts		Describe automated artifact removal parameters in detail sufficient for replication.		For example, provide numerical parameters, options selected, or describe decision-making process as closely as possible if manual, visual-inspection based decisions were involved.	textarea		artifact_3_automated_parameters	artifact_steps_number >= 3 && artifact_3 == 4	112	1	1	Preprocessing	5
Artifacts		What action did you take regarding artifacts in step 4?			radio	reject bad trial or bad data segment | correct by subtraction (blinks, EKG etc.) | reject channels | interpolate channels | multi-step automated approach (e.g., FASTER)	artifact_4	artifact_steps_number >= 4	113	1	1	Preprocessing	5
Artifacts		What software did you use for artifact removal in step 4?			select	preset:meeg_analysis_softwares	artifact_4_software	artifact_steps_number >= 4 && same_software == 0	114	1	1	Preprocessing	5
Artifacts		Specify software version if applicable, script language if "custom script" was selected and software name and version if "other" was selected.			text		artifact_4_software_details	artifact_steps_number >= 4&& same_software == 0	115	1	1	Preprocessing	5
Artifacts		Did you reject trials or segments of continuous data in step 4?			radio	trials | data segments	artifact_4_reject_what	artifact_steps_number >= 4 && artifact_4 == 0	116	1	1	Preprocessing	5
Artifacts		How did you define your artifacts in step 4?			radio	visual inspection | pre-set numerical criterion/function | other	artifact_4_reject_method	artifact_steps_number >= 4 && artifact_4 == 0	117	1	1	Preprocessing	5
Artifacts		Which artifacts did you remove using visual inspection in step 4?			select_multiple	blinks | saccades | other occular | cardiac | motion and other EMG noise | alpha waves | line noise | other	artifact_4_reject_visual	artifact_steps_number >= 4 && artifact_4_reject_method == 0	118	1	1	Preprocessing	5
Artifacts		Which other artifacts did you remove visually?			text		artifact_4_reject_visual_other	artifact_4_reject_visual.includes(7)	119	1	1	Preprocessing	5
Artifacts		Describe your numerical criterion/function and provide numerical threshold(s) in step 4.			text		artifact_4_reject_numerical	artifact_steps_number >= 4 && artifact_4_reject_method == 1	120	1	1	Preprocessing	5
Artifacts		Describe your method of artifact rejection other than visual inspection or numerical criterion/function. Make sure that there is enough detail for a replication attempt.			text		artifact_4_reject_other	artifact_steps_number >= 4 && artifact_4_reject_method == 2	121	1	1	Preprocessing	5
Artifacts		Which general method of artifact correction did you use in step 4?			select	regression-based approach (e.g., Gratton et al., 1983, Elbert et al., 1985) | spatial-filter-based approach (e.g., Dale, 1994) | ICA-based approaches | wavelet-based | wavelet-enhanced ICA (e.g., Khushaba et al, 2013) | multiple-source-analysis-based approaches (e.g., MSEC by Berg & Scherg, 1994) | other	artifact_4_correct_method	artifact_steps_number >= 4 && artifact_4 == 1	122	1	1	Preprocessing	5
Artifacts		Reference to the artifact correction algorithm used in step 4			text		artifact_4_correct_reference	artifact_steps_number >= 4 && artifact_4 == 1	123	1	1	Preprocessing	5
Artifacts		Describe artifact correction parameters in detail sufficient for replication.		For example, provide numerical parameters, options selected, or describe decision-making process as closely as possible if manual, visual-inspection based decisions were involved.	textarea		artifact_4_correct_details	artifact_steps_number >= 4 && artifact_4 == 1	124	1	1	Preprocessing	5
Artifacts		From which data did you eliminate bad channels in step 4?			radio	from individual trials | from segments of continuous data | from the entire recording	artifact_4_remove_electrode_where	artifact_steps_number >= 4 && artifact_4 == 2	125	1	1	Preprocessing	5
Artifacts		List of channels eliminated in step 4 for all participants, separated by a semicolon and a space.			text		artifact_4_remove_electrode_everyone_list	artifact_steps_number >= 1 && artifact_4 == 2 && artifact_4_remove_electrode_where ==2	126	1	1	Preprocessing	5
Artifacts		Percentage of channels eliminated per participant on average in step 4			float		artifact_4_remove_electrode_percent	artifact_steps_number >= 1 && artifact_4 == 2 && artifact_4_remove_electrode_where ==2	127	1	1	Preprocessing	5
Artifacts		What was the criterion for eliminating bad channels in step 4?			radio	visual inspection | pre-set numerical criterion/function | other	artifact_4_remove_electrode_method	artifact_steps_number >= 4 && artifact_4 == 2	128	1	1	Preprocessing	5
Artifacts		Why did you remove bad electrodes in step 4?			select_multiple	excessive line noise | excessive muscle activity | bad contact and other large fluctations in voltage | dead electrode | excessive EMG noise | cardiac activity | other	artifact_4_remove_electrode_visual	artifact_steps_number >= 4 && artifact_4_remove_electrode_method == 0	129	1	1	Preprocessing	5
Artifacts		Which other reasons did you have for eliminating bad electrodes visually in step 4?			text		artifact_4_remove_electrode_visual_other	artifact_steps_number >= 4 && artifact_4_remove_electrode_visual == 6	130	1	1	Preprocessing	5
Artifacts		Describe your numerical criterion/function for eliminating electrodes and provide numerical threshold(s) in step 4.			text		artifact_4_remove_electrode_numerical	artifact_steps_number >= 4 && artifact_4_remove_electrode_method == 1	131	1	1	Preprocessing	5
Artifacts		Describe your method of electrode rejection other than visual inspection or numerical criterion/function. Make sure that there is enough detail for a replication attempt.			text		artifact_4_remove_electrode_other	artifact_steps_number >= 4 && artifact_4_remove_electrode_method == 2	132	1	1	Preprocessing	5
Artifacts		How did you select channels for interpolation in step 4?		Describe the numerical threshold or function used to define which channels should be interpolated.	textarea		artifact_4_interpolate_which	artifact_steps_number >= 4 && artifact_4 == 3	133	1	1	Preprocessing	5
Artifacts		Describe interpolation function and the settings you used in step 4.		Provide appropriate details and settings, as well as a reference, if appropriate.	textarea		artifact_4_interpolate_how	artifact_steps_number >= 4 && artifact_4 == 3	134	1	1	Preprocessing	5
Artifacts		Reference to the automated artifact removal algorithm used in step 4			text		artifact_4_automated_reference	artifact_steps_number >= 4 && artifact_4 == 4	135	1	1	Preprocessing	5
