question	details	field_type	choices	item	item_pref_label	visibility	item_order	include	mandatory	activity	sub-section	sub-sub-section	activity_pref_label	activity_order	unit	BIDS_status	BIDS_file	BIDS_key	BIDS_key_for_unit
Please provide futher details needed for replication.		text		amp_further_details	amp further details	amp_time_window_selection == 1 || amp_time_window_selection == 2	11	1	1	Measurement	Amplitude		Amplitude	5					
Select the procedure which was used to identify start and end of the time window		radio	visual inspection of grand averages in separate conditions across participants | visual inspection of grand average across all conditions and participants (flattened average approach, see  https://doi.org/10.1371/journal.pcbi.1008286         ) | consecutive significant tests to determine the start and the end of a window that will be analysed  | window around a peak | windows across epoch with/without overlap (time windows decided after seeing the waveforms, specify details) 	approach_to_amp_measure_window_selection_data_driven	Approach to amp measure window selection data driven	measure_type == 0	12	1	1	Measurement	Amplitude		Amplitude	5					
Please provide here the start of the broader window which was examined to determine the measurement window.  If the entire epoch was analyzed, enter “0” : START [ms]	For data-driven approaches only: Please provide here the start of the broader window which was examined to determine the measurement window.  If the entire epoch was analyzed, enter “0”.	float		amp_broader_window_start	amp broader window start	amp_time_window_selection == 1	13	1	1	Measurement	Amplitude		Amplitude	5					
Please provide here the start of the broader window which was examined to determine the analysis window.  If the entire epoch was analyzed, enter the epoch end. END [ms]	For data-driven approaches only: Please provide here the start of the broader window which was examined to determine the analysis window.  If the entire epoch was analyzed, enter the epoch end.	float		amp_broader_window_end	amp broader window end	amp_time_window_selection == 1	14	1	1	Measurement	Amplitude		Amplitude	5					
Please provide here the start of the window which was used to measure amplitude. Measurement window: START [ms]	for a priori time windows only: Please provide here the start of the window which was used to measure amplitude.	float		amp_measure_start_a_priori	amp measure START a priori	amp_time_window_selection == 0	15	1	1	Measurement	Amplitude		Amplitude	5					
Please provide here the end of the window which was used to measure amplitude. Measurement window: END [ms]	for a priori time windows only: Please provide here the end of the window which was used to measure amplitude.	float		amp_measure_end_a_priori	amp measure END a priori	amp_time_window_selection == 0	16	1	1	Measurement	Amplitude		Amplitude	5					
Please provide the window which was used for amplitude measurement as a result of the data-driven approach or where the effect was found (e.g. as a result of a mass univariate analysis) Measurement window: START [ms]	Please provide the window which was used for amplitude measurement as a result of the data-driven approach or where the effect was found (e.g. as a result of a mass univariate analysis)	float		amp_measure_start_data-driven	amp measure START data-driven	amp_time_window_selection == 1	17	1	1	Measurement	Amplitude		Amplitude	5					
Please provide end of the window which was used for amplitude measurement as a result of the data-driven approach or where the effect was found (e.g. as a result of a mass univariate analysis). Measurement window: END [ms]	Please provide end of the window which was used for amplitude measurement as a result of the data-driven approach or where the effect was found (e.g. as a result of a mass univariate analysis)	float		amp_measure_end_data_driven	amp measure END data driven	amp_time_window_selection == 1	18	1	1	Measurement	Amplitude		Amplitude	5					
Amplitude measurement software	[auto selected based on the choice of 4.1.1 + allow customization]  to be discussed: which of these softwares can be used for amplitude measurement; which new software can be added	select	preset:meeg_analysis_softwares	amp_measure_software	amp measure software	measure_type == 0	19	1	1	Measurement	Amplitude		Amplitude	5					
Please specify software version if applicable, and software name and version if "other" was selected.		text		amp_measure_software_details	amp measure software details	measure_type == 0	20	1	1	Measurement	Amplitude		Amplitude	5					
Describe the latency type.		radio	midpoint | onset | other	lat_type	lat type	measure_type == 1	21	1	1	Measurement	Latency		Latency	5					
Onset latency measure		radio	midpoint - peak | midpoint - local peak | midpoint - 50% area | midpoint - other 	onset_lat_measure	Onset lat measure	measure_type == 1	22	1	1	Measurement	Latency		Latency	5					
Peak latency measure	Select procedure which was used for latency measurement in this time window and describe all details neccessary for replicating this procedure in Further clarification.	select	onset - extrapolation based on slope | onset - difference larger than chance | onset - N consecutive significant comparisons | onset - fractational area (e.g. 30% area) | onset - fractational peak (e.g. 50% peak) | onset - other	peak_lat_measure	Peak lat measure	measure_type == 1	23	1	1	Measurement	Latency		Latency	5					
Latency measured from	Please specify details of how the waveforms were constructed in the further clarification text. The details should be sufficient to allow replication.  For discussion: any way to help with reporting complex steps such as measurement from waveforms that are transformed by source localization?	radio	single waves (one condition) | difference waves | waves obtained using transformation of raw data (e.g. sPCA, source localization) | other	lat_measured_from	lat measured from	measure_type == 1	24	1	1	Measurement	Latency		Latency	5					
Approach to selection of the window within which latency was located (multi choice)	A priori: the window is selected in advance Data-driven: the measurement window is selected based on data obtained in the current study. In a data driven approach, either a wider window or the entire epoch are analyzed or examined to determine which will be the final analysis window.  Entire epoch: latency is identified based on the entire epoch instead of a narrower window (e.g. peak of the entire waveform, mass univariate approch on the entire epoch etc.). Please specify details in the Further clarification column [if 1 was selected, jump to 6.4.2.1; if 2 was selected, jumpe to 6.4.2.2] If 3 or 4 was selected, specify in "further clarification" filed.	radio	A priori | Data-driven | latency identified based on the entire epoch | other	lat_selection_approach	lat selection approach	measure_type == 1	25	1	1	Measurement	Latency		Latency	5					
Select the procedure which was used for latency measurement in this time window.	Select procedure which was used for latency measurement in this time window.  Please provide references if 1 was selected and rationale if 2 was selected   Skip 6.4.2-6.4.4. and jump to 6.4.5.	radio	 The same as in previous literature | other	lat_selection_approach_a_priori	lat selection approach a priori	lat_selection_approach == 0	26	1	1	Measurement	Latency		Latency	5					
Please provide references.		text		lat_selection_literature	lat selection literature	lat_selection_approach_a_priori == 0	27	1	1	Measurement	Latency		Latency	5					
Please provide the rationale.		text		lat_selection_rationale	lat selection rationale	lat_selection_approach_a_priori == 1	28	1	1	Measurement	Latency		Latency	5					
Select the procedure which was used for latency measurement in this time window.	Select procedure which was used for latency measurement in this time window.  Please fill all time window rows (6.4.3-6.4.6)	select	visual inspection 	lat_selection_data_driven	lat selection data driven	lat_selection_approach == 1	29	1	1	Measurement	Latency		Latency	5					
Please clarify how you selected the window in to measure latency.		text		lat_further_clarification	lat further clarification	lat_selection_approach == 2 || lat_selection_approach == 3	30	1	1	Measurement	Latency		Latency	5					
Please provide here the start of the broader window which was examined to determine the measurement window.  If the entire epoch was analyzed, enter “0”: START [ms]	For data-driven approaches only: Please provide here the start of the broader window which was examined to determine the measurement window.  If the entire epoch was analyzed, enter “0”.	float		lat_broader_time_window_start	lat broader time window start	lat_selection_approach == 1	31	1	1	Measurement	Latency		Latency	5					
Please provide here the start of the broader window which was examined to determine the analysis window for latency.  If the entire epoch was analyzed, enter the epoch end: END [ms]	For data-driven approaches only: Please provide here the start of the broader window which was examined to determine the analysis window.  If the entire epoch was analyzed, enter the epoch end.	float		lat_broader_time_window_end	lat broader time window end	lat_selection_approach == 1	32	1	1	Measurement	Latency		Latency	5					
Please provide here the start of the window which was used to measure latency. Measurement window: START [ms]	for a priori time windows only: Please provide here the start of the window which was used to measure amplitude.  for data-driven time windows: Please provide the window which was used for amplitude measurement as a result of the data-driven approach or where the effect was found (e.g. as a result of a mass univariate analysis)	float		lat_measure_window_start_a_priori	lat measure window START a priori	lat_selection_approach == 0	33	1	1	Measurement	Latency		Latency	5					
Please provide here the end of the window which was used to measure latency. Measurement window: END [ms]	for a priori time windows only: Please provide here the end of the window which was used to measure amplitude.  for data-driven time windows: Please provide end of the window which was used for amplitude measurement as a result of the data-driven approach or where the effect was found (e.g. as a result of a mass univariate analysis)	float		lat_measure_window_end_a_priori	lat measure window END a priori	lat_selection_approach == 0	34	1	1	Measurement	Latency		Latency	5					
Please provide the window which was used for latency measurement as a result of the data-driven approach or where the effect was found (e.g. as a result of a mass univariate analysis). Measurement window: START [ms]	for a priori time windows only: Please provide here the start of the window which was used to measure amplitude.  for data-driven time windows: Please provide the window which was used for amplitude measurement as a result of the data-driven approach or where the effect was found (e.g. as a result of a mass univariate analysis)	float		lat_measure_window_start_data-driven	lat measure window START data-driven	lat_selection_approach == 1	35	1	1	Measurement	Latency		Latency	5					
Please provide end of the window which was used for latency measurement as a result of the data-driven approach or where the effect was found (e.g. as a result of a mass univariate analysis). Measurement window: END [ms]	for a priori time windows only: Please provide here the end of the window which was used to measure amplitude.  for data-driven time windows: Please provide end of the window which was used for amplitude measurement as a result of the data-driven approach or where the effect was found (e.g. as a result of a mass univariate analysis)	float		lat_measure_window_end_data-driven	lat measure window END data-driven	lat_selection_approach == 1	36	1	1	Measurement	Latency		Latency	5					
Latency measurement software	[auto selected based on the choice of 4.1.1 + allow customization]  for discussion: adding other software + which of these systems allow latency measurement	select	preset:meeg_analysis_softwares	lat_measure_software	lat measure software	measure_type == 1	37	1	1	Measurement	Latency		Latency	5					
Specify software version if applicable, and software name and version if "other" was selected.		text		lat_measure_software_details	lat measure software details	measure_type == 1	38	1	1	Measurement	Latency		Latency	5					
