include,activity,activity_pref_label,activity_description,,,,item,item_pref_label,item_description,item_order,mandatory,duplicate,question,details,field_type,choices,visibility
1,processing,processing,processing,Generic pre-processing,"If data segmentation is performed, indicate the number of epochs per subject per condition",,"if_data_segmentation_is_performed,_indicate_the_number_of_epochs_per_subject_per_condition","if data segmentation is performed, indicate the number of epochs per subject per condition","if data segmentation is performed, indicate the number of epochs per subject per condition",,,0,,,,,
1,processing,processing,processing,Generic pre-processing,Indicate the spectral decomposition algorithm and parameters,,indicate_the_spectral_decomposition_algorithm_and_parameters,indicate the spectral decomposition algorithm and parameters,indicate the spectral decomposition algorithm and parameters,,,0,,,,,
1,processing,processing,processing,Generic pre-processing,Indicate if spectral decomposition was applied before or after segmentation,,indicate_if_spectral_decomposition_was_applied_before_or_after_segmentation,indicate if spectral decomposition was applied before or after segmentation,indicate if spectral decomposition was applied before or after segmentation,,,0,,,,,
1,processing,processing,processing,Detection/rejection/correction of artifacts,Indicate what types of artifact present in the data,,indicate_what_types_of_artifact_present_in_the_data,indicate what types of artifact present in the data,indicate what types of artifact present in the data,,,0,,,,,
1,processing,processing,processing,Detection/rejection/correction of artifacts,"For automatic artifact detection, describe algorithms used and their respective parameters (e.g., amplitude thresholds)",,"for_automatic_artifact_detection,_describe_algorithms_used_and_their_respective_parameters_(e.g.,_amplitude_thresholds)","for automatic artifact detection, describe algorithms used and their respective parameters (e.g., amplitude thresholds)","for automatic artifact detection, describe algorithms used and their respective parameters (e.g., amplitude thresholds)",,,0,,,,,
1,processing,processing,processing,Detection/rejection/correction of artifacts,"For manual detection, indicate the criteria used with as much detail as needed for reproducibility",,"for_manual_detection,_indicate_the_criteria_used_with_as_much_detail_as_needed_for_reproducibility","for manual detection, indicate the criteria used with as much detail as needed for reproducibility","for manual detection, indicate the criteria used with as much detail as needed for reproducibility",,,0,,,,,
1,processing,processing,processing,Detection/rejection/correction of artifacts,"Indicate if trials with artifacts were rejected or corrected. If using correction, indicate method(s) and parameters",,"indicate_if_trials_with_artifacts_were_rejected_or_corrected._if_using_correction,_indicate_method(s)_and_parameters","indicate if trials with artifacts were rejected or corrected. if using correction, indicate method(s) and parameters","indicate if trials with artifacts were rejected or corrected. if using correction, indicate method(s) and parameters",,,0,,,,,
1,processing,processing,processing,Detection/rejection/correction of artifacts,"If trials/segments of data with artifacts have been removed, indicate the average number of remaining trials per condition across participants (include minimum and maximum number of trials across participants)",,"if_trials/segments_of_data_with_artifacts_have_been_removed,_indicate_the_average_number_of_remaining_trials_per_condition_across_participants_(include_minimum_and_maximum_number_of_trials_across_participants)","if trials/segments of data with artifacts have been removed, indicate the average number of remaining trials per condition across participants (include minimum and maximum number of trials across participants)","if trials/segments of data with artifacts have been removed, indicate the average number of remaining trials per condition across participants (include minimum and maximum number of trials across participants)",,,0,,,,,
1,processing,processing,processing,Detection/rejection/correction of artifacts,"For resting state data, specify the length of time of the artifact-free data",,"for_resting_state_data,_specify_the_length_of_time_of_the_artifact-free_data","for resting state data, specify the length of time of the artifact-free data","for resting state data, specify the length of time of the artifact-free data",,,0,,,,,
1,processing,processing,processing,Correction of artifacts using BSS/ICA,Indicate how many total components were generated,,indicate_how_many_total_components_were_generated,indicate how many total components were generated,indicate how many total components were generated,,,0,,,,,
1,processing,processing,processing,Correction of artifacts using BSS/ICA,Indicate what type of artifact was identified,,indicate_what_type_of_artifact_was_identified,indicate what type of artifact was identified,indicate what type of artifact was identified,,,0,,,,,
1,processing,processing,processing,Correction of artifacts using BSS/ICA,Indicate how artifact was identified,,indicate_how_artifact_was_identified,indicate how artifact was identified,indicate how artifact was identified,,,0,,,,,
1,processing,processing,processing,Correction of artifacts using BSS/ICA,Indicate how many components were removed (on average across participants),,indicate_how_many_components_were_removed_(on_average_across_participants),indicate how many components were removed (on average across participants),indicate how many components were removed (on average across participants),,,0,,,,,
1,processing,processing,processing,Correction of artifacts using BSS/ICA,Display example topographies of the ICs that were removed,,display_example_topographies_of_the_ics_that_were_removed,display example topographies of the ics that were removed,display example topographies of the ics that were removed,,,0,,,,,
1,processing,processing,processing,Filtering,Indicate type of filtering,,indicate_type_of_filtering,indicate type of filtering,indicate type of filtering,,,0,,,,,
1,processing,processing,processing,Filtering,Indicate filter parameters,frequency cut-off,frequency_cut-off,frequency cut-off,frequency cut-off,,,0,,,,,
1,processing,processing,processing,Filtering,Indicate filter parameters,roll-off rate/slope,roll-off_rate/slope,roll-off rate/slope,roll-off rate/slope,,,0,,,,,
1,processing,processing,processing,Filtering,Indicate filter parameters,others,others,others,others,,,0,,,,,
1,processing,processing,processing,Re-referencing (for EEG),Report the digital reference and how this was computed,,report_the_digital_reference_and_how_this_was_computed,report the digital reference and how this was computed,report the digital reference and how this was computed,,,0,,,,,
1,processing,processing,processing,Re-referencing (for EEG),Justify choice of the re-reference scheme,,justify_choice_of_the_re-reference_scheme,justify choice of the re-reference scheme,justify choice of the re-reference scheme,,,0,,,,,
1,processing,processing,processing,Source modelling,Method of co-registration of measurement sensors to structural MRI scan of the participant’s head or MRI template (for EEG in particular),,method_of_co-registration_of_measurement_sensors_to_structural_mri_scan_of_the_participant’s_head_or_mri_template_(for_eeg_in_particular),method of co-registration of measurement sensors to structural mri scan of the participant’s head or mri template (for eeg in particular),method of co-registration of measurement sensors to structural mri scan of the participant’s head or mri template (for eeg in particular),,,0,,,,,
1,processing,processing,processing,Source modelling,"Volume conductor model (e.g., BEM/FEM)",,"volume_conductor_model_(e.g.,_bem/fem)","volume conductor model (e.g., bem/fem)","volume conductor model (e.g., bem/fem)",,,0,,,,,
1,processing,processing,processing,Source modelling,Tissue conductivity values (for EEG),,tissue_conductivity_values_(for_eeg),tissue conductivity values (for eeg),tissue conductivity values (for eeg),,,0,,,,,
1,processing,processing,processing,Source modelling,"Source model details (e.g., dipole, distributed,dipole scanning)",,"source_model_details_(e.g.,_dipole,_distributed,dipole_scanning)","source model details (e.g., dipole, distributed,dipole scanning)","source model details (e.g., dipole, distributed,dipole scanning)",,,0,,,,,
1,processing,processing,processing,Source modelling,"Report parameters used for source estimation (i.e., regularization of the data covariance matrix; constraints used for source model)",,"report_parameters_used_for_source_estimation_(i.e.,_regularization_of_the_data_covariance_matrix;_constraints_used_for_source_model)","report parameters used for source estimation (i.e., regularization of the data covariance matrix; constraints used for source model)","report parameters used for source estimation (i.e., regularization of the data covariance matrix; constraints used for source model)",,,0,,,,,
1,processing,processing,processing,Connectivity,Sensor or source space?,,sensor_or_source_space?,sensor or source space?,sensor or source space?,,,0,,,,,
1,processing,processing,processing,Connectivity,"Detail exact variables that have been analysed (which of the data was partialised, marginalised, or conditioned)",,"detail_exact_variables_that_have_been_analysed_(which_of_the_data_was_partialised,_marginalised,_or_conditioned)","detail exact variables that have been analysed (which of the data was partialised, marginalised, or conditioned)","detail exact variables that have been analysed (which of the data was partialised, marginalised, or conditioned)",,,0,,,,,
1,processing,processing,processing,Connectivity,"For model based approach, indicate model parameters",,"for_model_based_approach,_indicate_model_parameters","for model based approach, indicate model parameters","for model based approach, indicate model parameters",,,0,,,,,
1,processing,processing,processing,Connectivity,Specify metrics of coupling,,specify_metrics_of_coupling,specify metrics of coupling,specify metrics of coupling,,,0,,,,,
