0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,10,data_access_success,data access success,data access success,0,data_accessible == 1,Were you successful at accessing the data?,,boolean,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,11,data_subset,data subset,data subset,1,1,Is the data used in this paper a subset/superset from another data collection(s)?,,radio,"No, neither subset or superset (the released data is the exact data for the publication) | 
Yes, subset (the data used is a portion of the data available from the identified source) | 
Yes, superset (the data is an aggregate from multiple sources)",,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,12,dataset_unique_ID,dataset unique ID,dataset unique ID,0,data_subset == 1,Is the subset uniquely/clearly identified?,,boolean,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,13,data_subet_rationale,data subet rationale,data subet rationale,0,data_subset == 1,Is the rationale for the subset clearly identified?,,boolean,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,14,analysis_tools_specified,analysis tools specified,analysis tools specified,1,1,Are the software tools / packages specified?,,boolean,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,15,analysis_tools_and_versions,analysis tools and versions,analysis tools and versions,1,analysis_tools_specified == 1,"List the tools and versions indicated (i.e. Freesurfer 5.0). 
If more than one tool used, use a new line for each tool.",,mri_software,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,16,analysis_OS_specified,analysis OS specified,analysis OS specified,1,1,Is the operating system used for tool execution specified?,,boolean,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,17,analysis_OS_class,analysis OS class,analysis OS class,0,analysis_OS_specified == 1,Which class of operating system was indicated?,,radio,windows | macOS | linux,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,18,analysis_OS_details,analysis OS details,analysis OS details,0,analysis_OS_specified == 1,Describe the operating system details (i.e. specific version) provided (i.e. MacOS 10.12.6).,,char,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,19,preprocessing_parameters_specified,preprocessing parameters specified,preprocessing parameters specified,1,1,Are the detailed processing parameters specified?,,radio,yes | some details provided | no,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,20,analysis_reexecutable,analysis reexecutable,analysis reexecutable,1,1,"Do you think a reasonably skilled image analyst could re-execute this analysis 
(including getting the specified versions of the tools and operating system indicated)?",,radio,yes | approximately | no | I am not sure,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,21,statistical_tools_specified,statistical tools specified,statistical tools specified,1,1,Are the statistical tools / packages specified?,,boolean,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,22,statitical_tools_and_versions,statitical tools and versions,statitical tools and versions,1,statistical_tools_specified == 1,"List the tools and versions indicated (i.e. Stata 5.0). 
If more than one tool used, use a new line for each tool.",,char,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,23,statistics_OS_specified,statistics OS specified,statistics OS specified,1,1,Is the operating system used for the statistical tool(s) specified?,,boolean,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,24,statistics_OS_class,statistics OS class,statistics OS class,0,statistics_OS_specified == 1,Which class of operating system was indicated for the statistical analysis?,,radio,windows | macOS | linux,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,25,statistics_OS_details,statistics OS details,statistics OS details,0,statistics_OS_specified == 1,Describe the operating system details (i.e. specific version) provided (i.e. MacOS 10.12.6).,,char,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,26,statistics_parameters_specified,statistics parameters specified,statistics parameters specified,1,1,Are the detailed statistical parameters/model specified?,,radio,yes | some details provided | no,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,27,statistical_analysis_reexecutable,statistical analysis reexecutable,statistical analysis reexecutable,1,1,"Do you think a reasonably skilled statistical analyst could re-execute this statistical analysis 
(including getting the specified versions of the statistical tools and operating system indicated)?",,radio,yes | approximately | no | I am not sure,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,28,results_available,results available,results available,1,1,"Are the complete results (derived images, summary data, etc.) available?",,radio,yes | no | partially,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,29,results_access,results access,results access,0,results_available == 1,How are the results accessed?,,dropdown,Supplementary information (with the publication) | Upon request | Repository,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,30,results_repository,results repository,results repository,0,results_available == 1,Which repository(ies),,char,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,31,additional_information,additional information,additional information,1,1,Please indicate any additional information provided that would impact the re-executability of this publication.,,char,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,32,preregistration,preregistration,preregistration,1,1,Was this study 'pre-registered'?,,boolean,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,33,preregistration_URL,preregistration URL,preregistration URL,0,preregistration == 1,Provide link or other details regarding the pre-registration:,,char,,,,,,,,,,,,,,,,,,,,,,,
0,reexec nimg litt review,1,reexec_nimg_litt_review,reexec nimg litt review,neuroimaging re-executability checklist,34,comments,comments,comments,1,1,Let us know if you have any comments/corrections/improvements to suggest for this survey.,,char,,,,,,,,,,,,,,,,,,,,,,,
