0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
TRUE,0,Results,Data Processing,Data quality,10,1,results_data-processing_data-quality,Data quality,,Monitoring of Data Quality,,,1,1,Monitoring of data quality during experiment,Data quality was monitored constantly by the experimenter,char,,,,,,,3,0
TRUE,0,Results,Data Processing,Data quality,10,1,results_data-processing_data-quality,Data quality,,Proportion of Excluded Trials,,,1,1,Percentage of trials excluded for the analysis,20% of trials had to be removed due to ...,slider,,Percentage,,,,,15,0
TRUE,0,Results,Data Processing,Data quality,10,1,results_data-processing_data-quality,Data quality,,Reasons for Excluding Trials,,,1,1,Reasons for exclusion,Signal loss,char,,,,,,,23,0
TRUE,0,Results,Data Processing,Data quality,10,1,results_data-processing_data-quality,Data quality,,Number of Participants Excluded,,,1,1,Number of participants excluded from the analysis,Three participants excluded,int,,,,,,,38,0
TRUE,0,Results,Data Processing,Data quality,10,1,results_data-processing_data-quality,Data quality,,Quality Threshold,,,1,1,The exact quality threshold for exclusion,40% missing observations,slider,,,,,,,12,10
TRUE,0,Results,Data Processing,Data quality,10,1,results_data-processing_data-quality,Data quality,,Percentage of Lost Data,,,1,1,Percentage of lost data,Proportion of samples in which gaze position could not be identified ; An average of 11% lost data,slider,,,,,,,3,10
TRUE,0,Results,Data Processing,Data quality,10,1,results_data-processing_data-quality,Data quality,,Test of Assumptions for Missing Data,,,0,0,Test of assumptions for missing data,,radio,MCAR | MAR | MNAR,,,,,,<1,20
TRUE,0,Results,Data Processing,Data quality,10,1,results_data-processing_data-quality,Data quality,,Methods Addressing Missing Data,,,0,0,Methods for addressing missing data,Censoring or imputation,radio,,,,,,,3,0
TRUE,0,Results,Data Processing,Data quality,10,1,results_data-processing_data-quality,Data quality,,"Denoising, Filtering or Smoothing of Raw Data",,,0,0,"The pre-processing of raw data through denoising, filtering or smoothing",Lowpass filtering,char,,,,,,,8,60
FALSE,0,Results,Data Processing,Dependent measures,11,1,results_data-processing_dependent-measures,Dependent measures,,Other Transformations of Data,,,1,1,Other transformations of data,Search Index,char,,,,,,,4,10
TRUE,0,Results,Data Processing,Dependent measures,11,1,results_data-processing_dependent-measures,Dependent measures,,Blink Detection,,,0,0,The algorithm used to identify blinks,SR or Tobii blink algorithm,char,SR blink algorithm | Tobii blink algorithm,,,,,,2,30
TRUE,0,Results,Data Processing,Dependent measures,11,1,results_data-processing_dependent-measures,Dependent measures,,Fixation Detection,,,0,0,Event detection procedure,I-DT fixation algorithm,char,,,,,,,27,60
TRUE,0,Results,Data Processing,Dependent measures,11,1,results_data-processing_dependent-measures,Dependent measures,,Aggregation Method for Fixations during Data,,,1,1,The aggregation method for fixations during data preprocessing used,AOI method or fuzzy AOIs,char,,,,,,,20,10
FALSE,0,?,Data Processing,Preprocessing,12,1,?_data-processing_preprocessing,Preprocessing,,Artefact Detection,,,0,0,The artefact detection and removal method used,Blinks and missing data removed by linear interpolation,char,,,,,,,6,40
TRUE,0,?,Data Processing,Preprocessing,12,1,?_data-processing_preprocessing,Preprocessing,,Pupil Aggregation Method,,,0,0,Specification of the algorithm to calculate the pupil size,Average pupil dilation,char,,,,,,,82,50
TRUE,0,?,Data Processing,Preprocessing,12,1,?_data-processing_preprocessing,Preprocessing,,Pupil Algorithm,,,0,0,The pupil measures used,Pupil dilation,char,,,,,,,48,10
FALSE,0,Discussion,,,13,1,discussion,Discussion,,Importance of Study Specific Limitations,,,1,1,"Limitations mentioned due to the eye-tracking methodology, study specific or general stated?",Low data quality attenuated effect sizes,char,,,,,,,11,0
TRUE,0,Discussion,,,13,1,discussion,Discussion,,Importance of Limitations in General,,,1,1,Limitations stated due to the eye-tracking methodology in general,Eye movements do not equate attention,char,,,,,,,8,0
