row fomarting,row fomarting,activity_order,include,activity,activity_pref_label,activity_description,activity_preamble,,,,,item,item_pref_label,item_description,item_order,duplicate,question,details,field_type,choices,visibility,"Common to MR spreadsheet 

yellow=Y=already included for MR & can be ignored in this document

green=P=areas of potential overlap",BIDS_status,BIDS_file,BIDS_key
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Auditory stimuli,auditory_stimuli,auditory stimuli,auditory stimuli,,3,,Intensity,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Auditory stimuli,auditory_stimuli,auditory stimuli,auditory stimuli,,3,,Ear of stimulation,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Auditory stimuli,auditory_stimuli,auditory stimuli,auditory stimuli,,3,,"Type, manufacturer and model of the delivery device",,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Somatosensory stimulation,somatosensory_stimulation,somatosensory stimulation,somatosensory stimulation,,3,,"Stimulus type (e.g., electrical, air puff)",,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Somatosensory stimulation,somatosensory_stimulation,somatosensory stimulation,somatosensory stimulation,,3,,"Stimulus characteristics (e.g., duration, frequency)",,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Somatosensory stimulation,somatosensory_stimulation,somatosensory stimulation,somatosensory stimulation,,3,,Location on the body with reference to anatomical landmarks,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Stimulus properties,Task with stimuli,Somatosensory stimulation,somatosensory_stimulation,somatosensory stimulation,somatosensory stimulation,,3,,Strength (ideally with respect to some sensory or motor threshold),,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Calibration procedures for the stimuli (including software and hardware used),,,calibration_procedures_for_the_stimuli_(including_software_and_hardware_used),calibration procedures for the stimuli (including software and hardware used),calibration procedures for the stimuli (including software and hardware used),,0,,,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Structure and timing of the task,,,structure_and_timing_of_the_task,structure and timing of the task,structure and timing of the task,,9,,Practice sessions,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Structure and timing of the task,,,structure_and_timing_of_the_task,structure and timing of the task,structure and timing of the task,,9,,Number of trials per condition,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Structure and timing of the task,,,structure_and_timing_of_the_task,structure and timing of the task,structure and timing of the task,,9,,ISI (interstimuli-interval),,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Structure and timing of the task,,,structure_and_timing_of_the_task,structure and timing of the task,structure and timing of the task,,9,,SOA (stimulus onset synchrony),,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Structure and timing of the task,,,structure_and_timing_of_the_task,structure and timing of the task,structure and timing of the task,,9,,Temporal jitter,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Structure and timing of the task,,,structure_and_timing_of_the_task,structure and timing of the task,structure and timing of the task,,9,,Order of stimuli,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Structure and timing of the task,,,structure_and_timing_of_the_task,structure and timing of the task,structure and timing of the task,,9,,Order of conditions,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Structure and timing of the task,,,structure_and_timing_of_the_task,structure and timing of the task,structure and timing of the task,,9,,Counterbalance?,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Structure and timing of the task,,,structure_and_timing_of_the_task,structure and timing of the task,structure and timing of the task,,9,,Feedback or handling of errors,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Stimulation/task parameters,Structure and timing of the task,,,structure_and_timing_of_the_task,structure and timing of the task,structure and timing of the task,,9,,Others?,,,,,,,
TRUE,FALSE,1,1,experimental_design,Experimental Design,Experimental Design,,Behavioral data,What was collected,Motor responses?,,motor_responses?,motor responses?,motor responses?,,0,,,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Behavioral data,What was collected,Eye tracking data?,,eye_tracking_data?,eye tracking data?,eye tracking data?,,0,,,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Behavioral data,What was collected,Other?,,other?,other?,other?,,1,,,,,,,,,
TRUE,TRUE,1,1,experimental_design,Experimental Design,Experimental Design,,Behavioral data,How was collected (hardware),,,how_was_collected_(hardware),how was collected (hardware),how was collected (hardware),,0,,,,,,,,,
FALSE,FALSE,2,1,acquisition,Acquisition,Acquisition,,Device,"MEEG manufacturer, model, sensor specification",,,"meeg_manufacturer,_model,_sensor_specification","meeg manufacturer, model, sensor specification","meeg manufacturer, model, sensor specification",,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Device,Details on additional devices used (manufacturer and make) for additional measures (behaviour or other),,,details_on_additional_devices_used_(manufacturer_and_make)_for_additional_measures_(behaviour_or_other),details on additional devices used (manufacturer and make) for additional measures (behaviour or other),details on additional devices used (manufacturer and make) for additional measures (behaviour or other),,0,,,,,,,,,
TRUE,FALSE,2,1,acquisition,Acquisition,Acquisition,,Sensor type and spatial layout,MEG,Planar/axial gradiometers and/or magnetometers,,planar/axial_gradiometers_and/or_magnetometers,planar/axial gradiometers and/or magnetometers,planar/axial gradiometers and/or magnetometers,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Sensor type and spatial layout,MEG,Spatial layout,,spatial_layout,spatial layout,spatial layout,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Sensor type and spatial layout,"Electrodes for EEG, EOG, ECG, EMG, skin conductance",Electrode material,,electrode_material,electrode material,electrode material,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Sensor type and spatial layout,"Electrodes for EEG, EOG, ECG, EMG, skin conductance",Passive/active,,passive/active,passive/active,passive/active,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Sensor type and spatial layout,"Electrodes for EEG, EOG, ECG, EMG, skin conductance",Other,,other,other,other,,1,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Sensor type and spatial layout,"EEG spatial layout: 10-20, 10-10 system, Geodesic, other. If not conventional, show map of electrode positions",,,"eeg_spatial_layout:_10-20,_10-10_system,_geodesic,_other._if_not_conventional,_show_map_of_electrode_positions","eeg spatial layout: 10-20, 10-10 system, geodesic, other. if not conventional, show map of electrode positions","eeg spatial layout: 10-20, 10-10 system, geodesic, other. if not conventional, show map of electrode positions",,0,,,,,,,,,
TRUE,FALSE,2,1,acquisition,Acquisition,Acquisition,,Participant preparation and test room,Ambient characteristics,,,ambient_characteristics,ambient characteristics,ambient characteristics,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Participant preparation and test room,"For MEG, empty room recorded?",,,"for_meg,_empty_room_recorded?","for meg, empty room recorded?","for meg, empty room recorded?",,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Participant preparation and test room,"For EEG, recording room shielded?",,,"for_eeg,_recording_room_shielded?","for eeg, recording room shielded?","for eeg, recording room shielded?",,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Participant preparation and test room,Participant preparation,EEG: skin preparation prior to electrode application,,eeg:_skin_preparation_prior_to_electrode_application,eeg: skin preparation prior to electrode application,eeg: skin preparation prior to electrode application,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Participant preparation and test room,Participant preparation,EEG: electrode application,,eeg:_electrode_application,eeg: electrode application,eeg: electrode application,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Participant preparation and test room,Participant preparation,MEG: participant degaussing,,meg:_participant_degaussing,meg: participant degaussing,meg: participant degaussing,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Participant preparation and test room,Participant preparation,MEG: special clothing,,meg:_special_clothing,meg: special clothing,meg: special clothing,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Participant preparation and test room,Participant preparation,Other,,other,other,other,,1,,,,,,,,,
TRUE,FALSE,2,1,acquisition,Acquisition,Acquisition,,Impedance measurement,,,,impedance_measurement,impedance measurement,impedance measurement,,1,,"Report impedances for EEG/EOG/ECG/ EMG electrodes, preferably digitally storing them to the datafile",,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Impedance measurement,,,,impedance_measurement,impedance measurement,impedance measurement,,1,,Indicate timing of impedance measurement(s) relative to the experiment,,,,,,,
TRUE,FALSE,2,1,acquisition,Acquisition,Acquisition,,Data acquisition parameters,Software system used for acquisition,,,software_system_used_for_acquisition,software system used for acquisition,software system used for acquisition,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Data acquisition parameters,Low- and high-pass filter characteristics,,,low-_and_high-pass_filter_characteristics,low- and high-pass filter characteristics,low- and high-pass filter characteristics,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Data acquisition parameters,Sampling frequency,,,sampling_frequency,sampling frequency,sampling frequency,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Data acquisition parameters,Continuous versus epoched acquisition?,,,continuous_versus_epoched_acquisition?,continuous versus epoched acquisition?,continuous versus epoched acquisition?,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Data acquisition parameters,For EEG/EOG/ECG/EMG/skin conductance: report reference and ground electrode positions,,,for_eeg/eog/ecg/emg/skin_conductance:_report_reference_and_ground_electrode_positions,for eeg/eog/ecg/emg/skin conductance: report reference and ground electrode positions,for eeg/eog/ecg/emg/skin conductance: report reference and ground electrode positions,,0,,,,,,,,,
TRUE,FALSE,2,1,acquisition,Acquisition,Acquisition,,Sensor position digitization,"EEG/EOG: method (magnetic, optical, other),",,,"eeg/eog:_method_(magnetic,_optical,_other),","eeg/eog: method (magnetic, optical, other),","eeg/eog: method (magnetic, optical, other),",,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Sensor position digitization,EEG/EOG: manufacterer and model of the device used,,,eeg/eog:_manufacterer_and_model_of_the_device_used,eeg/eog: manufacterer and model of the device used,eeg/eog: manufacterer and model of the device used,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Sensor position digitization,MEG: monitoring of head position relative to the sensor array,,,meg:_monitoring_of_head_position_relative_to_the_sensor_array,meg: monitoring of head position relative to the sensor array,meg: monitoring of head position relative to the sensor array,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Sensor position digitization,MEG: use of head movement detection coils,,,meg:_use_of_head_movement_detection_coils,meg: use of head movement detection coils,meg: use of head movement detection coils,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Sensor position digitization,MEG: placement of coils,,,meg:_placement_of_coils,meg: placement of coils,meg: placement of coils,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Sensor position digitization,Report the time of digitization in relation to the experiment,,,report_the_time_of_digitization_in_relation_to_the_experiment,report the time of digitization in relation to the experiment,report the time of digitization in relation to the experiment,,0,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Sensor position digitization,Describe the 3D coordinate system,,,describe_the_3d_coordinate_system,describe the 3d coordinate system,describe the 3d coordinate system,,0,,,,,,,,,
TRUE,FALSE,2,1,acquisition,Acquisition,Acquisition,,Co-registration with MRI scanning,,,,co-registration_with_mri_scanning,co-registration with mri scanning,co-registration with mri scanning,,4,,,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Co-registration with MRI scanning,,,,co-registration_with_mri_scanning,co-registration with mri scanning,co-registration with mri scanning,,4,,MRI scanning protocol,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Co-registration with MRI scanning,,,,co-registration_with_mri_scanning,co-registration with mri scanning,co-registration with mri scanning,,4,,Fiduicials type,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Co-registration with MRI scanning,,,,co-registration_with_mri_scanning,co-registration with mri scanning,co-registration with mri scanning,,4,,Fiduicial's locations relative to anatomical landmarks,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Co-registration with MRI scanning,,,,co-registration_with_mri_scanning,co-registration with mri scanning,co-registration with mri scanning,,4,,Native coordinate system,,,,,,,
TRUE,FALSE,2,1,acquisition,Acquisition,Acquisition,,Synchronization of stimulation devices with MEG and/or EEG amplifiers,,,,synchronization_of_stimulation_devices_with_meg_and/or_eeg_amplifiers,synchronization of stimulation devices with meg and/or eeg amplifiers,synchronization of stimulation devices with meg and/or eeg amplifiers,,1,,Report either accuracy or error in synchronization,,,,,,,
TRUE,TRUE,2,1,acquisition,Acquisition,Acquisition,,Synchronization of stimulation devices with MEG and/or EEG amplifiers,,,,synchronization_of_stimulation_devices_with_meg_and/or_eeg_amplifiers,synchronization of stimulation devices with meg and/or eeg amplifiers,synchronization of stimulation devices with meg and/or eeg amplifiers,,1,,Synchronization between hyperscanning MEG or EEG amplifiers / MRI clock and EEG amplifiers,,,,,,,
FALSE,FALSE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Workflow,,,,workflow,workflow,workflow,,0,,Indicate in detail the exact order in which preprocessing steps took place,,,,,,,
TRUE,FALSE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Software,"Which software and version was/were used for preprocessing and processing,",,,"which_software_and_version_was/were_used_for_preprocessing_and_processing,","which software and version was/were used for preprocessing and processing,","which software and version was/were used for preprocessing and processing,",,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Software,Which analysis platform was used,,,which_analysis_platform_was_used,which analysis platform was used,which analysis platform was used,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Software,"In house code, shared/public?",,,"in_house_code,_shared/public?","in house code, shared/public?","in house code, shared/public?",,0,,,,,,,,,
TRUE,FALSE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Generic pre-processing,Downsampling of the data,,,downsampling_of_the_data,downsampling of the data,downsampling of the data,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Generic pre-processing,"If electrodes/sensors were removed, which identification method was used",,,"if_electrodes/sensors_were_removed,_which_identification_method_was_used","if electrodes/sensors were removed, which identification method was used","if electrodes/sensors were removed, which identification method was used",,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Generic pre-processing,"If electrodes/sensors were removed, which ones were deleted",,,"if_electrodes/sensors_were_removed,_which_ones_were_deleted","if electrodes/sensors were removed, which ones were deleted","if electrodes/sensors were removed, which ones were deleted",,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Generic pre-processing,if missing channel interpolation is performed indicate which method,,,if_missing_channel_interpolation_is_performed_indicate_which_method,if missing channel interpolation is performed indicate which method,if missing channel interpolation is performed indicate which method,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Generic pre-processing,Specify detrending method (typically polynomial order) for baseline correction,,,specify_detrending_method_(typically_polynomial_order)_for_baseline_correction,specify detrending method (typically polynomial order) for baseline correction,specify detrending method (typically polynomial order) for baseline correction,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Generic pre-processing,Specify noise normalization method (typically used in multivariate analyses),,,specify_noise_normalization_method_(typically_used_in_multivariate_analyses),specify noise normalization method (typically used in multivariate analyses),specify noise normalization method (typically used in multivariate analyses),,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Generic pre-processing,"If data segmentation is performed, indicate the number of epochs per subject per condition",,,"if_data_segmentation_is_performed,_indicate_the_number_of_epochs_per_subject_per_condition","if data segmentation is performed, indicate the number of epochs per subject per condition","if data segmentation is performed, indicate the number of epochs per subject per condition",,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Generic pre-processing,Indicate the spectral decomposition algorithm and parameters,,,indicate_the_spectral_decomposition_algorithm_and_parameters,indicate the spectral decomposition algorithm and parameters,indicate the spectral decomposition algorithm and parameters,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Generic pre-processing,Indicate if spectral decomposition was applied before or after segmentation,,,indicate_if_spectral_decomposition_was_applied_before_or_after_segmentation,indicate if spectral decomposition was applied before or after segmentation,indicate if spectral decomposition was applied before or after segmentation,,0,,,,,,,,,
TRUE,FALSE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Detection/rejection/correction of artifacts,Indicate what types of artifact present in the data,,,indicate_what_types_of_artifact_present_in_the_data,indicate what types of artifact present in the data,indicate what types of artifact present in the data,,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Detection/rejection/correction of artifacts,"For automatic artifact detection, describe algorithms used and their respective parameters (e.g., amplitude thresholds)",,,"for_automatic_artifact_detection,_describe_algorithms_used_and_their_respective_parameters_(e.g.,_amplitude_thresholds)","for automatic artifact detection, describe algorithms used and their respective parameters (e.g., amplitude thresholds)","for automatic artifact detection, describe algorithms used and their respective parameters (e.g., amplitude thresholds)",,0,,,,,,,,,
TRUE,TRUE,3,1,data_pre-processing_and_processing,Data pre-processing and processing,Data pre-processing and processing,,Detection/rejection/correction of artifacts,"For manual detection, indicate the criteria used with as much detail as needed for reproducibility",,,"for_manual_detection,_indicate_the_criteria_used_with_as_much_detail_as_needed_for_reproducibility","for manual detection, indicate the criteria used with as much detail as needed for reproducibility","for manual detection, indicate the criteria used with as much detail as needed for reproducibility",,0,,,,,,,,,
