row_formating,activity_order,include,neurovault_or_carp,mandatory,activity,activity_pref_label,activity_description,activity_preamble,,,item,item_pref_label,item_description,item_order,duplicate,question,imortant UHF,details,field_type,choices,visibility,bids_status,bids_file,bids_key,bids_key_for_unit,neurovault,in_Carp_2012,percent_of_studies,percent_of_studies_anat,use_case_meta-analysis,meta-analysis_comment
TRUE,2,0,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Slice alignement,,slice_alignement,slice alignement,slice alignement,,0,Is acquisition aligned with scanner axes?,,"Angulation: If acquisition not aligned with scanner axes, specify angulation to AC­PC line (see Slice position procedure)",boolean,,1,,,,,,,,,,
TRUE,2,0,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Phase encoding,,phase_encoding,phase encoding,phase encoding,,0,,,Specify phase encoding direction,dropdown,A/P | P/A | L/R | S/I,1,2,*_<modality_label>.json,PhaseEncodingDirection,,,,,,,
TRUE,2,0,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Phase encoding,3D phase encoding,3d_phase_encoding,3d phase encoding,3d phase encoding,,0,,,"For 3D, specify “partition encode” (aka slice) direction",char,,1,,,,,,,,,,
TRUE,2,0,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Phase encoding,Phase encoding reversal,phase_encoding_reversal,phase encoding reversal,phase encoding reversal,,0,Is phase encoding reversal used?,,,boolean,,1,,,,,,,,,,
TRUE,2,0,0,0,acquisition_all_types,Acquisition all types,Acquisition all types,,Parallel imaging,Parallel imaging used,parallel_imaging_used,parallel imaging used,parallel imaging used,,0,Was parallel imaging used?,,,boolean,,1,,,,,,,,,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Parallel imaging,parallel imaging method,parallel_imaging_method,parallel imaging method,parallel imaging method,,0,Description of parallel imaging method,,,radio,GRAPPA | SENSE,1,2,*_<modality_label>.json,"ParallelAcquisitionTechnique, ParallelReductionFactorInPlane, PartialFourier, PartialFourierDirection",,parallel_imaging,,,,,
TRUE,2,1,0,0,acquisition_all_types,Acquisition all types,Acquisition all types,,Parallel imaging,acceleration factor,acceleration_factor,acceleration factor,acceleration factor,,0,Pamaters of parallel imaging method (acceleration factor),,,int,,1,,,,,,,,,,
TRUE,2,0,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Parallel imaging,other parallel imaging parameters,other_parallel_imaging_parameters,other parallel imaging parameters,other parallel imaging parameters,,0,,,"Matrix coil mode, and coil combining method (if non­standard)",char,Matrix coil mode | and coil combining method (if non­standard),1,,,,,,,,,,
TRUE,2,0,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Multiband parameters,,multiband_parameters,multiband parameters,multiband parameters,,0,,,Multiband factor and field-of-view shift (only if applicable),float,Multiband factor and field-of-view shift (only if applicable),1,2,*_<modality_label>.json,MultibandAccelerationFactor,,,,,,,
TRUE,2,0,0,0,acquisition_all_types,Acquisition all types,Acquisition all types,,Readout parameters,,readout_parameters,readout parameters,readout parameters,,0,,important,"Receiver bandwidth, readout duration, echo spacing",float,Receiver bandwidth | readout duration | echo spacing,1,,,,,,,,,,
TRUE,2,0,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Fat suppression,,fat_suppression,fat suppression,fat suppression,,0,Was fat suppression used for anatomical scans?,,for anat scans,boolean,,1,2,*_<modality_label>.json,WaterFatShift (pixels) ???,,,,,,,
TRUE,2,0,0,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Shimming,,shimming,shimming,shimming,,0,,,Any specialized shimming procedures,char,,1,,,,,,,,,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Slice timing,,slice_timing,slice timing,slice timing,,0,Specify the slice acquisition order,,,radio,interleaved ascending | interleaved descending | sequential ascending | sequential descending,1,2,*bold.json,SliceTiming,,order_of_acquisition,sliceorder,22.4,,,
TRUE,2,1,0,0,acquisition_all_types,Acquisition all types,Acquisition all types,,Slice order,location of the first slice,location_of_the_first_slice,location of the first slice,location of the first slice,,0,Location of the first slice,,,char,,1,,,,,,,,,,
TRUE,2,0,0,0,acquisition_all_types,Acquisition all types,Acquisition all types,,Slice position procedure,,slice_position_procedure,slice position procedure,slice position procedure,,0,,,"For example, landmark guided vs. auto-alignment",char,,1,,,,,,,,,,
TRUE,2,1,1,1,acquisition_all_types,Acquisition all types,Acquisition all types,,Brain coverage,,brain_coverage,brain coverage,brain coverage,,0,What was the brain coverage ?,,"Report whether coverage was whole-brain, and whether cerebellum and brainstem were included. If not whole-brain, note the nature of the partial area of coverage. If axial and co­planar with AC­PC line, the volume coverage in terms of Z in mm",radio,cerebrum+cerebellum+brainstem | cerebrum+cerebellum | cerebrum,1,1,,,,,cover,36.1,,yes,necessary for inclusion/exclusion criteria
