activity_order	activity_pref_label	item_order	question	details	field_type	choices	item	item_pref_label	visibility	item_description	mandatory	include				unit	bids_status	bids_file	bids_key	bids_key_for_unit	percent_reported	no_opinion
7	Calibration	4	Specification of the calibration procedure	Automated and system approved calibration	textarea		specification_of_calibration_procedure	specification of calibration procedure	long_form == 1	specification of calibration procedure	0	1	Methods	Procedure	Calibration						4	10
8	Participants	1	The vision of the participants	Normal or corrected	textarea		vision_of_participants	vision of participants	long_form == 1	vision of participants	0	1	Methods	Procedure	Participants						44	10
8	Participants	2	The percentage of women	50	slider	0 | 100 | 20	proportion_of_women	proportion of women	long_form == 1	proportion of women	0	1	Methods	Procedure	Participants	%					76	0
8	Participants	3	The mean age of participants	22	float		mean_age	mean age	long_form == 1	mean age	0	1	Methods	Procedure	Participants	years from birth					69	0
8	Participants	4	Procedure for testing visual acuity or color vision	For example, participants were asked or tested before experiment ; Ishihara Color Vision Test	textarea		procedure_to_test_vision	procedure to test vision	long_form == 1	procedure to test vision	0	1	Methods	Procedure	Participants						3	0
8	Participants	5	Color vision 	For example, does the participant have full color vision ; Participants were only included if having correct color vision	textarea		color_vision	color vision	long_form == 1	color vision	0	1	Methods	Procedure	Participants						4	10
9	Data quality	1	Procedure for handling of participant artefacts	For example, drooping eyelids, mascara etc. ; Participants were asked to remove their mascara	textarea		handling_of_artefacts	handling of artefacts	long_form == 1	handling of artefacts	0	1	Results	Data Processing	Data quality						6	20
9	Data quality	2	The obtained accuracy of the data	0.5	float		obtained_accuracy	obtained accuracy	long_form == 1	obtained accuracy	0	1	Results	Data Processing	Data quality	visual degrees					3	20
9	Data quality	3	Monitoring of data quality during experiment	Data quality was monitored constantly by the experimenter	textarea	0 | 100 | 20	monitoring_of_data_quality	monitoring of data quality	1	monitoring of data quality	1	1	Results	Data Processing	Data quality						3	0
9	Data quality	4	Percentage of trials excluded for the analysis	20% of trials had to be removed due to ...	slider	0 | 100 | 20	proportion_of_excluded_trials	proportion of excluded trials	1	proportion of excluded trials	1	1	Results	Data Processing	Data quality	%					15	0
9	Data quality	5	Reasons for exclusion		radio	choice | reaction times | signal loss | other | not applicable (because no trial is excluded) 	reasons_for_excluding_trials	reasons for excluding trials	1	reasons for excluding trials	1	1	Results	Data Processing	Data quality						23	0
9	Data quality	6	Number of participants excluded from the analysis	Three participants excluded	integer		number_of_participants_excluded	number of participants excluded	1	number of participants excluded	1	1	Results	Data Processing	Data quality						38	0
9	Data quality	7	The exact quality threshold for exclusion	40% missing observations	slider	0 | 100 | 20	quality_threshold	quality threshold	1	quality threshold	1	1	Results	Data Processing	Data quality						12	10
9	Data quality	8	Percentage of lost data	Proportion of samples in which gaze position could not be identified ; An average of 11% lost data	slider	0 | 100 | 20	percentage_of_lost_data	percentage of lost data	1	percentage of lost data	1	1	Results	Data Processing	Data quality	%					3	10
9	Data quality	9	Test of assumptions for missing data		radio	MCAR | MAR | MNAR	test_of_assumptions_for_missing_data	test of assumptions for missing data	long_form == 1	test of assumptions for missing data	0	1	Results	Data Processing	Data quality						<1	20
9	Data quality	10	Methods for addressing missing data	Censoring or imputation	radio	Censoring | imputation	methods_addressing_missing_data	methods addressing missing data	long_form == 1	methods addressing missing data	0	1	Results	Data Processing	Data quality						3	0
9	Data quality	11	The pre-processing of raw data through denoising, filtering or smoothing	Lowpass filtering	textarea		denoising,_filtering_or_smoothing_of_raw_data	denoising, filtering or smoothing of raw data	long_form == 1	denoising, filtering or smoothing of raw data	0	1	Results	Data Processing	Data quality						8	60
10	Dependent measures	1	Other transformations of data	Search Index	textarea		other_transformations_of_data	other transformations of data	1	other transformations of data	1	1	Results	Data Processing	Dependent measures						4	10
10	Dependent measures	2	The algorithm used to identify blinks		radio	SR blink algorithm | Tobii blink algorithm	blink_detection	blink detection	long_form == 1	blink detection	0	1	Results	Data Processing	Dependent measures						2	30
10	Dependent measures	3	Event detection procedure	I-DT fixation algorithm	select	dispersion | velocity	fixation_detection	fixation detection	long_form == 1	fixation detection	0	1	Results	Data Processing	Dependent measures						27	60
10	Dependent measures	4	The aggregation method for fixations during data preprocessing used	AOI method or fuzzy AOIs	textarea		aggregation_method_for_fixations_during_data	aggregation method for fixations during data	1	aggregation method for fixations during data	1	1	Results	Data Processing	Dependent measures						20	10
11	Preprocessing	1	The artefact detection and removal method used	Blinks and missing data removed by linear interpolation	textarea		artefact_detection	artefact detection	long_form == 1	artefact detection	0	1	Methods	Data Processing	Preprocessing						6	40
11	Preprocessing	2	Specification of the algorithm to calculate the pupil size	Average pupil dilation	select	absolute measure | average measure | baseline-to-average measure | elliptical fitting | not applicable (because no pupil measure was used) 	pupil_aggregation_method	pupil aggregation method	long_form == 1	pupil aggregation method	0	1	Methods	Data Processing	Preprocessing						82	50
11	Preprocessing	3	The pupil measures used	Pupil dilation	textarea		pupil_algorithm	pupil algorithm	long_form == 1	pupil algorithm	0	1	Methods	Data Processing	Preprocessing						48	10
12	Discussion	1	Limitations mentioned due to the eye-tracking methodology, study specific or general stated?	Low data quality attenuated effect sizes	textarea		importance_of_study_specific_limitations	importance of study specific limitations	1	importance of study specific limitations	1	1	Discussion								11	0
12	Discussion	2	Limitations stated due to the eye-tracking methodology in general	Eye movements do not equate attention	textarea		importance_of_limitations_in_general	importance of limitations in general	1	importance of limitations in general	1	1	Discussion								8	0
