sub_section	preamble	question	details	field_type	choices	item_pref_label	visibility	item_order	include	mandatory	activity_pref_label	activity_order	unit	BIDS_file	BIDS_key	BIDS_key_for_unit	BIDS_status	Change_log
Variables		Did you analyse relationship between ERPs and a non-ERP continuous variable (e.g., correlation of an ERP measure with IQ)		radio	preset:boolean	continuous_variables	1	14	1	1	design_and_sample	2						25.08.2023 Angela: new question to incorporate Katarina's comments that the study design is not clear.. Also, this whole sub-section is renamed to "Variables"
Variables		Continuous variables analysed together with ERPs		text		continuous_variables_list	continuous_variables == 1	15	1	1	design_and_sample	2						25.08.2023 Angela: new question to incorporate Katarina's comments that the study design is not clear. Also, this whole sub-section is renamed to "Variables"
Presented trials		What determined the number of trials each participant was presented with?		radio	fixed N of trials delivered | adaptive N of trials (e.g., presenting trials with behavioural errors again until correct response) | Other	trial_presentation_strategy	1	16	1	1	design_and_sample	2						7.9.2023 Angela: replaced "subject" with participant to keep terminology consistent
Presented trials		How many trials in total was each participant presented with (including repetition of the same stimuli or trials)?		integer		total_nb_of_trials	trial_presentation_strategy == 0	17	1	1	design_and_sample	2						7.9.2023 Angela: replaced "subject" with participant to keep terminology consistent
Presented trials		How many trials did each condition feature (including repetition of the same stimuli or trials)?	Values should be separated by semicolon and a space and given in the same order as the conditions were listed earlier. If there are multiple groups of participants, list trial counts for all within-subject conditions for one group, and then for the next one - following the ordering of groups and within-subkect conditions as you specified them earlier.	textarea		total_nb_of_trials_condition	trial_presentation_strategy == 0	18	1	1	design_and_sample	2
Presented trials		Explain how it was determined how many trials a participant was presented with.		textarea		trial_presentation_strategy_other	trial_presentation_strategy >= 1	19	1	1	design_and_sample	2
Presented trials		How many trials on average was a participant presented with, in total (including repetition of the same stimuli or trials)?		float		avg_total_nb_trials_adaptive_other	trial_presentation_strategy >= 1	20	1	1	design_and_sample	2
Presented trials		What was the minimum number of trials a participant was presented with, in total  (including repetition of the same stimuli or trials)?		integer		min_total_nb_trials_adaptive_other	trial_presentation_strategy >= 1	21	1	1	design_and_sample	2
Presented trials		What was the maximum number of trials a participant was presented with, in total  (including repetition of the same stimuli or trials)?		integer		max_total_nb_trials_adaptive_other	trial_presentation_strategy >= 1	22	1	1	design_and_sample	2
Presented trials		How many trials on average was a participant presented with, per condition  (including repetition of the same stimuli or trials)? 	Values should be separated by semicolon and a space and given in the same order as the conditions were listed earlier. If there are multiple groups of participants, list trial counts for all within-subject conditions for one group, and then for the next one - following the ordering of groups and within-subkect conditions as you specified them earlier.	text		avg_nb_trials_adaptive_other_condition	trial_presentation_strategy >= 1	23	1	1	design_and_sample	2
Presented trials		What was the minimum number of trials a participant was presented with, per condition (including repetition of the same stimuli or trials)?	Values should be separated by semicolon and a space and given in the same order as the conditions were listed earlier. If there are multiple groups of participants, list trial counts for all within-subject conditions for one group, and then for the next one - following the ordering of groups and within-subkect conditions as you specified them earlier.	text		min_nb_trials_adaptive_other_condition	trial_presentation_strategy >= 1	24	1	1	design_and_sample	2
Presented trials		What was the maximum number of trials a participant was presented with, per condition  (including repetition of the same stimuli or trials)? 	Values should be separated by semicolon and a space and given in the same order as the conditions were listed earlier. If there are multiple groups of participants, list trial counts for all within-subject conditions for one group, and then for the next one - following the ordering of groups and within-subkect conditions as you specified them earlier.	text		max_nb_trials_adaptive_other_condition	trial_presentation_strategy >= 1	25	1	1	design_and_sample	2
Analyzed trials		After eliminating trials on all bases (e.g., artifacts, behavioural errors), how many trials, on average, did you include for each condition per participant?	Insert numbers for each condition, separated by a semicolon and a space, in the same order as the conditions were listed earlier. If there are multiple groups of participants, list trial counts for all within-subject conditions for one group, and then for the next one - following the ordering of groups and within-subkect conditions as you specified them earlier.	text		avg_nb_of_trials_condition	1	26	1	1	design_and_sample	2						7.9.2023 Angela: replaced "subject" with participant to keep terminology consistent
Analyzed trials		Specify the minimum number of trials analyzed per condition for any participant.	Values should be separated by semicolon and a space and given in the same order as the conditions were listed earlier.  If there are multiple groups of participants, list trial counts for all within-subject conditions for one group, and then for the next one - following the ordering of groups and within-subkect conditions as you specified them earlier.	text		min_nb_of_trials_per_condition	1	27	1	1	design_and_sample	2						7.9.2023 Angela: replaced "subject" with participant to keep terminology consistent
Analyzed trials		Specify the maximum number of trials analyzed per condition for any participant. 	Values should be separated by semicolon and a space and given in the same order as the conditions were listed earlier.  If there are multiple groups of participants, list trial counts for all within-subject conditions for one group, and then for the next one - following the ordering of groups and within-subject conditions as you specified them earlier.	text		max_nb_of_trials_per_condition	1	28	1	1	design_and_sample	2						7.9.2023 Angela: replaced "subject" with participant to keep terminology consistent
Presenting software		Which presenting software did you use to show your experimental task?		select	preset:stimulus_presentation_softwares	presenting_software	1	29	1	1	design_and_sample	2		*_events.tsv	object: StimulusPresentation fields: SoftwareName
Presenting software		Specify software version if applicable, programming language if "custom script" was selected, and software name and version if "other" was selected.		text		presenting_software_details	1	30	1	1	design_and_sample	2		*_events.tsv	object: StimulusPresentation fields: SoftwareVersion
