Apdx,Table,A1,A2,A3,A4,Ref1(formula),D,Ref2(formula),Reference,ActivityName,aspect_1,aspect_2,aspect_3,aspect_4,item_name,question,details,format,choice_levels,visibility,Common to MR spreadsheet (yellow=Y=already included for MR & can be ignored in this document; green=P=areas of potential overlap),BIDS_status,BIDS_source,BIDS_source_field
MEEG.,01,03,05,00,00,MEEG.01.03.05.00.00,01,MEEG.01.03.05.00.00.01,MEEG.01.03.05.00.00.01,Table 1. Design reporting,Participants,Medication,,,,,,,,,P,,,
MEEG.,01,03,06,00,00,MEEG.01.03.06.00.00,01,MEEG.01.03.06.00.00.01,MEEG.01.03.06.00.00.01,Table 1. Design reporting,Participants,"Report ancillary investigations (e.g., questionnaires,psychological assessments etc.), if any.",,,,,,,,,P,,,
MEEG.,01,03,07,00,00,MEEG.01.03.07.00.00,01,MEEG.01.03.07.00.00.01,MEEG.01.03.07.00.00.01,Table 1. Design reporting,Participants,Compensation,,,,,,,,,P,,,
MEEG.,01,03,08,00,00,MEEG.01.03.08.00.00,01,MEEG.01.03.08.00.00.01,MEEG.01.03.08.00.00.01,Table 1. Design reporting,Participants,Information about written informed consent (or informed assent for pediatric participants) and the name of Institutional Review Board,,,,,,,,,Y,,,
MEEG.,01,04,01,00,00,MEEG.01.04.01.00.00,01,MEEG.01.04.01.00.00.01,MEEG.01.04.01.00.00.01,Table 1. Design reporting,Stimulation/task parameters,Characteristics of the overall testing environment,,,,,,,,,,,,
MEEG.,01,04,02,00,00,MEEG.01.04.02.00.00,01,MEEG.01.04.02.00.00.01,MEEG.01.04.02.00.00.01,Table 1. Design reporting,Stimulation/task parameters,Number of experimenters,,,,,,,,,Y,,,
MEEG.,01,04,03,00,00,MEEG.01.04.03.00.00,01,MEEG.01.04.03.00.00.01,MEEG.01.04.03.00.00.01,Table 1. Design reporting,Stimulation/task parameters,Instructions,,,,,Description,,,,Y,,,
MEEG.,01,04,03,00,00,MEEG.01.04.03.00.00,02,MEEG.01.04.03.00.00.02,MEEG.01.04.03.00.00.02,Table 1. Design reporting,Stimulation/task parameters,Instructions,,,,,Task related?,,,,Y,,,
MEEG.,01,04,04,00,00,MEEG.01.04.04.00.00,01,MEEG.01.04.04.00.00.01,MEEG.01.04.04.00.00.01,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,,,,,,,,,,,,
MEEG.,01,04,04,00,00,MEEG.01.04.04.00.00,02,MEEG.01.04.04.00.00.02,MEEG.01.04.04.00.00.02,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,,,,,,,,,,,,
MEEG.,01,04,04,01,00,MEEG.01.04.04.01.00,01,MEEG.01.04.04.01.00.01,MEEG.01.04.04.01.00.01,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Resting state,,,,Indicate if subjects eyes were opened or closed,,,,,,,
MEEG.,01,04,04,01,00,MEEG.01.04.04.01.00,02,MEEG.01.04.04.01.00.02,MEEG.01.04.04.01.00.02,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Resting state,,,,"If eyes open, indicate if there was a fixation cross or not",,,,,,,
MEEG.,01,04,04,02,00,MEEG.01.04.04.02.00,01,MEEG.01.04.04.02.00.01,MEEG.01.04.04.02.00.01,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,,,,"Describe how stimuli was produced. For example, stimuli from existing stimulus sets or databases are used, the name of the database (or subset of stimuli used) should be provided. If stimuli are created or manipulated, specific software or algorithms need to be identified.",,,,,,,
MEEG.,01,04,04,02,00,MEEG.01.04.04.02.00,02,MEEG.01.04.04.02.00.02,MEEG.01.04.04.02.00.02,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,,,,Describe calibration procedure,,,,,,,
MEEG.,01,04,04,02,01,MEEG.01.04.04.02.01,01,MEEG.01.04.04.02.01.01,MEEG.01.04.04.02.01.01,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,,,Stimuli size in degrees of visual angle,,,,,,,
MEEG.,01,04,04,02,01,MEEG.01.04.04.02.01,02,MEEG.01.04.04.02.01.02,MEEG.01.04.04.02.01.02,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,,,Viewing distance,,,,,,,
MEEG.,01,04,04,02,01,MEEG.01.04.04.02.01,03,MEEG.01.04.04.02.01.03,MEEG.01.04.04.02.01.03,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,,,"Clarity (i.e.,visual contrast, intensity, etc.)",,,,,,,
MEEG.,01,04,04,02,01,MEEG.01.04.04.02.01,04,MEEG.01.04.04.02.01.04,MEEG.01.04.04.02.01.04,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,,,Color,,,,,,,
MEEG.,01,04,04,02,01,MEEG.01.04.04.02.01,05,MEEG.01.04.04.02.01.05,MEEG.01.04.04.02.01.05,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,,,"Site of the stimulation ((i.e., monocular vsbinocular, position in the visual field, etc.)",,,,,,,
MEEG.,01,04,04,02,01,MEEG.01.04.04.02.01,06,MEEG.01.04.04.02.01.06,MEEG.01.04.04.02.01.06,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,,,Display device and method of projection (including refresh rate or response time of the monitors),,,,,,,
MEEG.,01,04,04,02,01,MEEG.01.04.04.02.01,07,MEEG.01.04.04.02.01.07,MEEG.01.04.04.02.01.07,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Visual stimuli,,,Note if differences in intensity or contrast between different stimulus conditions,,,,,,,
MEEG.,01,04,04,02,02,MEEG.01.04.04.02.02,01,MEEG.01.04.04.02.02.01,MEEG.01.04.04.02.02.01,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Auditory stimuli,,,"Stimulus properties (e.g., frequency content, duration, onset/offset envelope, etc.)",,,,,,,
MEEG.,01,04,04,02,02,MEEG.01.04.04.02.02,02,MEEG.01.04.04.02.02.02,MEEG.01.04.04.02.02.02,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Auditory stimuli,,,Intensity,,,,,,,
MEEG.,01,04,04,02,02,MEEG.01.04.04.02.02,03,MEEG.01.04.04.02.02.03,MEEG.01.04.04.02.02.03,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Auditory stimuli,,,Ear of stimulation,,,,,,,
MEEG.,01,04,04,02,02,MEEG.01.04.04.02.02,04,MEEG.01.04.04.02.02.04,MEEG.01.04.04.02.02.04,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Auditory stimuli,,,"Type, manufacturer and model of the delivery device",,,,,,,
MEEG.,01,04,04,02,03,MEEG.01.04.04.02.03,01,MEEG.01.04.04.02.03.01,MEEG.01.04.04.02.03.01,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Somatosensory stimulation,,,"Stimulus type (e.g., electrical, air puff)",,,,,,,
MEEG.,01,04,04,02,03,MEEG.01.04.04.02.03,02,MEEG.01.04.04.02.03.02,MEEG.01.04.04.02.03.02,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Somatosensory stimulation,,,"Stimulus characteristics (e.g., duration, frequency)",,,,,,,
MEEG.,01,04,04,02,03,MEEG.01.04.04.02.03,03,MEEG.01.04.04.02.03.03,MEEG.01.04.04.02.03.03,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Somatosensory stimulation,,,Location on the body with reference to anatomical landmarks,,,,,,,
MEEG.,01,04,04,02,03,MEEG.01.04.04.02.03,04,MEEG.01.04.04.02.03.04,MEEG.01.04.04.02.03.04,Table 1. Design reporting,Stimulation/task parameters,Stimulus properties,Task with stimuli,Somatosensory stimulation,,,Strength (ideally with respect to some sensory or motor threshold),,,,,,,
MEEG.,01,04,05,00,00,MEEG.01.04.05.00.00,01,MEEG.01.04.05.00.00.01,MEEG.01.04.05.00.00.01,Table 1. Design reporting,Stimulation/task parameters,Calibration procedures for the stimuli (including software and hardware used),,,,,,,,,,,,
MEEG.,01,04,06,00,00,MEEG.01.04.06.00.00,01,MEEG.01.04.06.00.00.01,MEEG.01.04.06.00.00.01,Table 1. Design reporting,Stimulation/task parameters,Structure and timing of the task,,,,,Practice sessions,,,,,,,
MEEG.,01,04,06,00,00,MEEG.01.04.06.00.00,02,MEEG.01.04.06.00.00.02,MEEG.01.04.06.00.00.02,Table 1. Design reporting,Stimulation/task parameters,Structure and timing of the task,,,,,Number of trials per condition,,,,,,,
MEEG.,01,04,06,00,00,MEEG.01.04.06.00.00,03,MEEG.01.04.06.00.00.03,MEEG.01.04.06.00.00.03,Table 1. Design reporting,Stimulation/task parameters,Structure and timing of the task,,,,,ISI (interstimuli-interval),,,,,,,
MEEG.,01,04,06,00,00,MEEG.01.04.06.00.00,04,MEEG.01.04.06.00.00.04,MEEG.01.04.06.00.00.04,Table 1. Design reporting,Stimulation/task parameters,Structure and timing of the task,,,,,SOA (stimulus onset synchrony),,,,,,,
MEEG.,01,04,06,00,00,MEEG.01.04.06.00.00,05,MEEG.01.04.06.00.00.05,MEEG.01.04.06.00.00.05,Table 1. Design reporting,Stimulation/task parameters,Structure and timing of the task,,,,,Temporal jitter,,,,,,,
MEEG.,01,04,06,00,00,MEEG.01.04.06.00.00,06,MEEG.01.04.06.00.00.06,MEEG.01.04.06.00.00.06,Table 1. Design reporting,Stimulation/task parameters,Structure and timing of the task,,,,,Order of stimuli,,,,,,,
MEEG.,01,04,06,00,00,MEEG.01.04.06.00.00,07,MEEG.01.04.06.00.00.07,MEEG.01.04.06.00.00.07,Table 1. Design reporting,Stimulation/task parameters,Structure and timing of the task,,,,,Order of conditions,,,,,,,
MEEG.,01,04,06,00,00,MEEG.01.04.06.00.00,08,MEEG.01.04.06.00.00.08,MEEG.01.04.06.00.00.08,Table 1. Design reporting,Stimulation/task parameters,Structure and timing of the task,,,,,Counterbalance?,,,,,,,
MEEG.,01,04,06,00,00,MEEG.01.04.06.00.00,09,MEEG.01.04.06.00.00.09,MEEG.01.04.06.00.00.09,Table 1. Design reporting,Stimulation/task parameters,Structure and timing of the task,,,,,Feedback or handling of errors,,,,,,,
MEEG.,01,04,06,00,00,MEEG.01.04.06.00.00,10,MEEG.01.04.06.00.00.10,MEEG.01.04.06.00.00.10,Table 1. Design reporting,Stimulation/task parameters,Structure and timing of the task,,,,,Others?,,,,,,,
MEEG.,01,05,01,01,00,MEEG.01.05.01.01.00,01,MEEG.01.05.01.01.00.01,MEEG.01.05.01.01.00.01,Table 1. Design reporting,Behavioral data,What was collected,Motor responses?,,,,,,,,,,,
MEEG.,01,05,01,02,00,MEEG.01.05.01.02.00,01,MEEG.01.05.01.02.00.01,MEEG.01.05.01.02.00.01,Table 1. Design reporting,Behavioral data,What was collected,Eye tracking data?,,,,,,,,,,,
MEEG.,01,05,01,03,00,MEEG.01.05.01.03.00,01,MEEG.01.05.01.03.00.01,MEEG.01.05.01.03.00.01,Table 1. Design reporting,Behavioral data,What was collected,Other?,,,,,,,,,,,
MEEG.,01,05,02,00,00,MEEG.01.05.02.00.00,01,MEEG.01.05.02.00.00.01,MEEG.01.05.02.00.00.01,Table 1. Design reporting,Behavioral data,How was collected (hardware),,,,,,,,,,,,
MEEG.,02,01,01,00,00,MEEG.02.01.01.00.00,01,MEEG.02.01.01.00.00.01,MEEG.02.01.01.00.00.01,Table 2. Data acquisition reporting,Device,"MEEG manufacturer, model, sensor specification",,,,,,,,,,,,
MEEG.,02,01,02,00,00,MEEG.02.01.02.00.00,01,MEEG.02.01.02.00.00.01,MEEG.02.01.02.00.00.01,Table 2. Data acquisition reporting,Device,Details on additional devices used (manufacturer and make) for additional measures (behaviour or other),,,,,,,,,,,,
MEEG.,02,02,01,01,00,MEEG.02.02.01.01.00,01,MEEG.02.02.01.01.00.01,MEEG.02.02.01.01.00.01,Table 2. Data acquisition reporting,Sensor type and spatial layout,MEG,Planar/axial gradiometers and/or magnetometers,,,,,,,,,,,
MEEG.,02,02,01,02,00,MEEG.02.02.01.02.00,01,MEEG.02.02.01.02.00.01,MEEG.02.02.01.02.00.01,Table 2. Data acquisition reporting,Sensor type and spatial layout,MEG,Spatial layout,,,,,,,,,,,
MEEG.,02,02,02,01,00,MEEG.02.02.02.01.00,01,MEEG.02.02.02.01.00.01,MEEG.02.02.02.01.00.01,Table 2. Data acquisition reporting,Sensor type and spatial layout,"Electrodes for EEG, EOG, ECG, EMG, skin conductance",Electrode material,,,,,,,,,,,
MEEG.,02,02,02,02,00,MEEG.02.02.02.02.00,01,MEEG.02.02.02.02.00.01,MEEG.02.02.02.02.00.01,Table 2. Data acquisition reporting,Sensor type and spatial layout,"Electrodes for EEG, EOG, ECG, EMG, skin conductance",Passive/active,,,,,,,,,,,
MEEG.,02,02,02,03,00,MEEG.02.02.02.03.00,01,MEEG.02.02.02.03.00.01,MEEG.02.02.02.03.00.01,Table 2. Data acquisition reporting,Sensor type and spatial layout,"Electrodes for EEG, EOG, ECG, EMG, skin conductance",Other,,,,,,,,,,,
MEEG.,02,02,03,00,00,MEEG.02.02.03.00.00,01,MEEG.02.02.03.00.00.01,MEEG.02.02.03.00.00.01,Table 2. Data acquisition reporting,Sensor type and spatial layout,"EEG spatial layout: 10-20, 10-10 system, Geodesic, other. If not conventional, show map of electrode positions",,,,,,,,,,,,
MEEG.,02,03,01,00,00,MEEG.02.03.01.00.00,01,MEEG.02.03.01.00.00.01,MEEG.02.03.01.00.00.01,Table 2. Data acquisition reporting,Participant preparation and test room,Ambient characteristics,,,,,,,,,,,,
MEEG.,02,03,02,00,00,MEEG.02.03.02.00.00,01,MEEG.02.03.02.00.00.01,MEEG.02.03.02.00.00.01,Table 2. Data acquisition reporting,Participant preparation and test room,"For MEG, empty room recorded?",,,,,,,,,,,,
MEEG.,02,03,03,00,00,MEEG.02.03.03.00.00,01,MEEG.02.03.03.00.00.01,MEEG.02.03.03.00.00.01,Table 2. Data acquisition reporting,Participant preparation and test room,"For EEG, recording room shielded?",,,,,,,,,,,,
MEEG.,02,03,04,01,00,MEEG.02.03.04.01.00,01,MEEG.02.03.04.01.00.01,MEEG.02.03.04.01.00.01,Table 2. Data acquisition reporting,Participant preparation and test room,Participant preparation,EEG: skin preparation prior to electrode application,,,,,,,,,,,
MEEG.,02,03,04,02,00,MEEG.02.03.04.02.00,01,MEEG.02.03.04.02.00.01,MEEG.02.03.04.02.00.01,Table 2. Data acquisition reporting,Participant preparation and test room,Participant preparation,EEG: electrode application,,,,,,,,,,,
MEEG.,02,03,04,03,00,MEEG.02.03.04.03.00,01,MEEG.02.03.04.03.00.01,MEEG.02.03.04.03.00.01,Table 2. Data acquisition reporting,Participant preparation and test room,Participant preparation,MEG: participant degaussing,,,,,,,,,,,
MEEG.,02,03,04,04,00,MEEG.02.03.04.04.00,01,MEEG.02.03.04.04.00.01,MEEG.02.03.04.04.00.01,Table 2. Data acquisition reporting,Participant preparation and test room,Participant preparation,MEG: special clothing,,,,,,,,,,,
MEEG.,02,03,04,05,00,MEEG.02.03.04.05.00,01,MEEG.02.03.04.05.00.01,MEEG.02.03.04.05.00.01,Table 2. Data acquisition reporting,Participant preparation and test room,Participant preparation,Other,,,,,,,,,,,
MEEG.,02,04,01,00,00,MEEG.02.04.01.00.00,01,MEEG.02.04.01.00.00.01,MEEG.02.04.01.00.00.01,Table 2. Data acquisition reporting,Impedance measurement,,,,,,"Report impedances for EEG/EOG/ECG/ EMG electrodes, preferably digitally storing them to the datafile",,,,,,,
MEEG.,02,04,02,00,00,MEEG.02.04.02.00.00,01,MEEG.02.04.02.00.00.01,MEEG.02.04.02.00.00.01,Table 2. Data acquisition reporting,Impedance measurement,,,,,,Indicate timing of impedance measurement(s) relative to the experiment,,,,,,,
MEEG.,02,05,01,00,00,MEEG.02.05.01.00.00,01,MEEG.02.05.01.00.00.01,MEEG.02.05.01.00.00.01,Table 2. Data acquisition reporting,Data acquisition parameters,Software system used for acquisition,,,,,,,,,,,,
MEEG.,02,05,02,00,00,MEEG.02.05.02.00.00,01,MEEG.02.05.02.00.00.01,MEEG.02.05.02.00.00.01,Table 2. Data acquisition reporting,Data acquisition parameters,Low- and high-pass filter characteristics,,,,,,,,,,,,
MEEG.,02,05,03,00,00,MEEG.02.05.03.00.00,01,MEEG.02.05.03.00.00.01,MEEG.02.05.03.00.00.01,Table 2. Data acquisition reporting,Data acquisition parameters,Sampling frequency,,,,,,,,,,,,
MEEG.,02,05,04,00,00,MEEG.02.05.04.00.00,01,MEEG.02.05.04.00.00.01,MEEG.02.05.04.00.00.01,Table 2. Data acquisition reporting,Data acquisition parameters,Continuous versus epoched acquisition?,,,,,,,,,,,,
MEEG.,02,05,05,00,00,MEEG.02.05.05.00.00,01,MEEG.02.05.05.00.00.01,MEEG.02.05.05.00.00.01,Table 2. Data acquisition reporting,Data acquisition parameters,For EEG/EOG/ECG/EMG/skin conductance: report reference and ground electrode positions,,,,,,,,,,,,
MEEG.,02,06,01,00,00,MEEG.02.06.01.00.00,01,MEEG.02.06.01.00.00.01,MEEG.02.06.01.00.00.01,Table 2. Data acquisition reporting,Sensor position digitization,"EEG/EOG: method (magnetic, optical, other),",,,,,,,,,,,,
MEEG.,02,06,02,00,00,MEEG.02.06.02.00.00,01,MEEG.02.06.02.00.00.01,MEEG.02.06.02.00.00.01,Table 2. Data acquisition reporting,Sensor position digitization,EEG/EOG: manufacterer and model of the device used,,,,,,,,,,,,
MEEG.,02,06,03,00,00,MEEG.02.06.03.00.00,01,MEEG.02.06.03.00.00.01,MEEG.02.06.03.00.00.01,Table 2. Data acquisition reporting,Sensor position digitization,MEG: monitoring of head position relative to the sensor array,,,,,,,,,,,,
MEEG.,02,06,04,00,00,MEEG.02.06.04.00.00,01,MEEG.02.06.04.00.00.01,MEEG.02.06.04.00.00.01,Table 2. Data acquisition reporting,Sensor position digitization,MEG: use of head movement detection coils,,,,,,,,,,,,
MEEG.,02,06,05,00,00,MEEG.02.06.05.00.00,01,MEEG.02.06.05.00.00.01,MEEG.02.06.05.00.00.01,Table 2. Data acquisition reporting,Sensor position digitization,MEG: placement of coils,,,,,,,,,,,,
MEEG.,02,06,06,00,00,MEEG.02.06.06.00.00,01,MEEG.02.06.06.00.00.01,MEEG.02.06.06.00.00.01,Table 2. Data acquisition reporting,Sensor position digitization,Report the time of digitization in relation to the experiment,,,,,,,,,,,,
MEEG.,02,06,07,00,00,MEEG.02.06.07.00.00,01,MEEG.02.06.07.00.00.01,MEEG.02.06.07.00.00.01,Table 2. Data acquisition reporting,Sensor position digitization,Describe the 3D coordinate system,,,,,,,,,,,,
MEEG.,02,07,00,00,00,MEEG.02.07.00.00.00,01,MEEG.02.07.00.00.00.01,MEEG.02.07.00.00.00.01,Table 2. Data acquisition reporting,Co-registration with MRI scanning,,,,,,,,,,,,,
MEEG.,02,07,01,00,00,MEEG.02.07.01.00.00,01,MEEG.02.07.01.00.00.01,MEEG.02.07.01.00.00.01,Table 2. Data acquisition reporting,Co-registration with MRI scanning,,,,,,MRI scanning protocol,,,,,,,
MEEG.,02,07,02,00,00,MEEG.02.07.02.00.00,01,MEEG.02.07.02.00.00.01,MEEG.02.07.02.00.00.01,Table 2. Data acquisition reporting,Co-registration with MRI scanning,,,,,,Fiduicials type,,,,,,,
MEEG.,02,07,03,00,00,MEEG.02.07.03.00.00,01,MEEG.02.07.03.00.00.01,MEEG.02.07.03.00.00.01,Table 2. Data acquisition reporting,Co-registration with MRI scanning,,,,,,Fiduicial's locations relative to anatomical landmarks,,,,,,,
MEEG.,02,07,04,00,00,MEEG.02.07.04.00.00,01,MEEG.02.07.04.00.00.01,MEEG.02.07.04.00.00.01,Table 2. Data acquisition reporting,Co-registration with MRI scanning,,,,,,Native coordinate system,,,,,,,
MEEG.,02,08,01,00,00,MEEG.02.08.01.00.00,01,MEEG.02.08.01.00.00.01,MEEG.02.08.01.00.00.01,Table 2. Data acquisition reporting,Synchronization of stimulation devices with MEG and/or EEG amplifiers,,,,,,Report either accuracy or error in synchronization,,,,,,,
MEEG.,02,08,02,00,00,MEEG.02.08.02.00.00,01,MEEG.02.08.02.00.00.01,MEEG.02.08.02.00.00.01,Table 2. Data acquisition reporting,Synchronization of stimulation devices with MEG and/or EEG amplifiers,,,,,,Synchronization between hyperscanning MEG or EEG amplifiers / MRI clock and EEG amplifiers,,,,,,,
MEEG.,03,01,01,00,00,MEEG.03.01.01.00.00,01,MEEG.03.01.01.00.00.01,MEEG.03.01.01.00.00.01,Table 3: Data pre-processing and processing,Workflow,,,,,,Indicate in detail the exact order in which preprocessing steps took place,,,,,,,
MEEG.,03,02,01,00,00,MEEG.03.02.01.00.00,01,MEEG.03.02.01.00.00.01,MEEG.03.02.01.00.00.01,Table 3: Data pre-processing and processing,Software,"Which software and version was/were used for preprocessing and processing,",,,,,,,,,,,,
MEEG.,03,02,02,00,00,MEEG.03.02.02.00.00,01,MEEG.03.02.02.00.00.01,MEEG.03.02.02.00.00.01,Table 3: Data pre-processing and processing,Software,Which analysis platform was used,,,,,,,,,,,,
MEEG.,03,02,03,00,00,MEEG.03.02.03.00.00,01,MEEG.03.02.03.00.00.01,MEEG.03.02.03.00.00.01,Table 3: Data pre-processing and processing,Software,"In house code, shared/public?",,,,,,,,,,,,
MEEG.,03,03,01,00,00,MEEG.03.03.01.00.00,01,MEEG.03.03.01.00.00.01,MEEG.03.03.01.00.00.01,Table 3: Data pre-processing and processing,Generic pre-processing,Downsampling of the data,,,,,,,,,,,,
MEEG.,03,03,02,00,00,MEEG.03.03.02.00.00,01,MEEG.03.03.02.00.00.01,MEEG.03.03.02.00.00.01,Table 3: Data pre-processing and processing,Generic pre-processing,"If electrodes/sensors were removed, which identification method was used",,,,,,,,,,,,
MEEG.,03,03,03,00,00,MEEG.03.03.03.00.00,01,MEEG.03.03.03.00.00.01,MEEG.03.03.03.00.00.01,Table 3: Data pre-processing and processing,Generic pre-processing,"If electrodes/sensors were removed, which ones were deleted",,,,,,,,,,,,
MEEG.,03,03,04,00,00,MEEG.03.03.04.00.00,01,MEEG.03.03.04.00.00.01,MEEG.03.03.04.00.00.01,Table 3: Data pre-processing and processing,Generic pre-processing,if missing channel interpolation is performed indicate which method,,,,,,,,,,,,
MEEG.,03,03,05,00,00,MEEG.03.03.05.00.00,01,MEEG.03.03.05.00.00.01,MEEG.03.03.05.00.00.01,Table 3: Data pre-processing and processing,Generic pre-processing,Specify detrending method (typically polynomial order) for baseline correction,,,,,,,,,,,,
MEEG.,03,03,06,00,00,MEEG.03.03.06.00.00,01,MEEG.03.03.06.00.00.01,MEEG.03.03.06.00.00.01,Table 3: Data pre-processing and processing,Generic pre-processing,Specify noise normalization method (typically used in multivariate analyses),,,,,,,,,,,,
MEEG.,03,03,07,00,00,MEEG.03.03.07.00.00,01,MEEG.03.03.07.00.00.01,MEEG.03.03.07.00.00.01,Table 3: Data pre-processing and processing,Generic pre-processing,"If data segmentation is performed, indicate the number of epochs per subject per condition",,,,,,,,,,,,
MEEG.,03,03,08,00,00,MEEG.03.03.08.00.00,01,MEEG.03.03.08.00.00.01,MEEG.03.03.08.00.00.01,Table 3: Data pre-processing and processing,Generic pre-processing,Indicate the spectral decomposition algorithm and parameters,,,,,,,,,,,,
MEEG.,03,03,09,00,00,MEEG.03.03.09.00.00,01,MEEG.03.03.09.00.00.01,MEEG.03.03.09.00.00.01,Table 3: Data pre-processing and processing,Generic pre-processing,Indicate if spectral decomposition was applied before or after segmentation,,,,,,,,,,,,
MEEG.,03,04,01,00,00,MEEG.03.04.01.00.00,01,MEEG.03.04.01.00.00.01,MEEG.03.04.01.00.00.01,Table 3: Data pre-processing and processing,Detection/rejection/correction of artifacts,Indicate what types of artifact present in the data,,,,,,,,,,,,
MEEG.,03,04,02,00,00,MEEG.03.04.02.00.00,01,MEEG.03.04.02.00.00.01,MEEG.03.04.02.00.00.01,Table 3: Data pre-processing and processing,Detection/rejection/correction of artifacts,"For automatic artifact detection, describe algorithms used and their respective parameters (e.g., amplitude thresholds)",,,,,,,,,,,,
